question_id,N,sign_entropy_gt,sign_entropy_ge,zero_mass,active_coordinates,cv_sigma,zero_variance_coordinates,top32_share,first32_share,first32_top32_intersection,corr_off_mass,corr_median_abs,corr_p95_abs,residual_mean_max_abs
22d2cb42,473,0.9974365008754701,0.9974365008754701,0.0,96,0.493394145373955,0,0.7618166882663702,0.7618166882663702,32,0.148437051346104,0.004346527407810351,0.014183623434315635,1.275113442130267e-16
2311e44b,493,0.9966502758217975,0.9966502758217975,0.0,96,0.49641938841789673,0,0.7606290637609826,0.7606290637609826,32,0.14681384006253898,0.00412126401260981,0.013954241563865705,9.120493407164065e-17
2318644b,523,0.9960633800306468,0.9960633800306468,0.0,96,0.5304584101395649,0,0.7741684768420157,0.7741684768420155,32,0.15171349426657216,0.00485195464193517,0.017022032864671473,3.876227998022057e-16
25e5aa4f,506,0.9954251676677747,0.9954251676677747,0.0,96,0.5076833654122904,0,0.7668392732692729,0.7668392732692729,32,0.15297270025826,0.004300122601517395,0.01672259298589243,1.9549579346660366e-16
2698e78f,478,0.9972434208080272,0.9972434208080272,0.0,96,0.48861465022671585,0,0.757267384050503,0.757267384050503,32,0.14825393678817303,0.004295710078997815,0.014952153917303692,1.5642995964122238e-16
26bdc477,498,0.997124201120533,0.997124201120533,0.0,96,0.49957053751883157,0,0.761067992716703,0.7610679927167032,32,0.1543088605833866,0.004787848420505171,0.018355297973034992,1.3220125574351763e-16
27016adc,491,0.9975731214611224,0.9975731214611224,0.0,96,0.5046761765139738,0,0.7655765145282675,0.7655765145282675,32,0.1475712492367571,0.003940520516306053,0.013684875845305618,1.9168871061628849e-16
2788b940,475,0.9973670344754632,0.9973670344754632,0.0,96,0.49388442710462166,0,0.755633719443868,0.755633719443868,32,0.15723403873735597,0.005416012867669111,0.019267409424711304,9.86345508193297e-17
28bcfaac,500,0.9968273401384509,0.9968273401384509,0.0,96,0.4950163250688404,0,0.7579700457806263,0.7579700457806263,32,0.1507732355881822,0.004569013176309544,0.015448008307499653,4.8329396040713845e-17
28dc39ac,431,0.9973596227159951,0.9973596227159951,0.0,96,0.49514652051132796,0,0.7588762322293588,0.758876232229359,32,0.14246047204643586,0.0033464202731548105,0.011225429148652991,2.528912887298718e-16
29f2956b,496,0.9974083875768223,0.9974083875768223,0.0,96,0.5029472519617584,0,0.7632068823284909,0.7632068823284909,32,0.1474053845631974,0.0042744162682473354,0.015181590515508128,1.571323716304153e-16
2a1811e2,479,0.9964856086621987,0.9964856086621987,0.0,96,0.4940471036176822,0,0.7566582222109703,0.7566582222109703,32,0.15155077659546898,0.0043575575796190235,0.01628233900058407,8.477329253792297e-17
