conv_id,method,seed,N_archive,unique_code_fraction,duplicate_code_fraction,largest_collision_bucket,bit_occupancy_mean,bit_occupancy_min,bit_occupancy_max,dead_bits
locomo_8,HAAR96_SIGN,43003.0,509,1.0,0.0,1,0.5010846430910282,0.4675834970530452,0.5402750491159135,0
locomo_8,HAAR96_SIGN,43004.0,509,1.0,0.0,1,0.4988130320890636,0.45972495088408644,0.5383104125736738,0
locomo_8,HAAR96_SIGN,43005.0,509,1.0,0.0,1,0.49987721021611,0.45579567779960706,0.5422396856581533,0
locomo_8,ITQ96_CENTERED,101.0,509,1.0,0.0,1,0.4999590700720367,0.4636542239685658,0.5363457760314342,0
locomo_8,ITQ96_CENTERED,202.0,509,1.0,0.0,1,0.500552554027505,0.47347740667976423,0.5402750491159135,0
locomo_8,ITQ96_CENTERED,303.0,509,1.0,0.0,1,0.49789210870988865,0.45972495088408644,0.5324165029469549,0
locomo_8,ITQ96_CENTERED,404.0,509,1.0,0.0,1,0.49887442698100853,0.4675834970530452,0.5304518664047151,0
locomo_8,ITQ96_CENTERED,505.0,509,1.0,0.0,1,0.5012483628028814,0.4715127701375246,0.5304518664047151,0
locomo_9,NATIVE_SIGN96,,568,1.0,0.0,1,0.49858788145539906,0.40316901408450706,0.5440140845070423,0
locomo_9,HAAR96_SIGN,43001.0,568,1.0,0.0,1,0.5000366784037559,0.4454225352112676,0.5440140845070423,0
locomo_9,HAAR96_SIGN,43002.0,568,1.0,0.0,1,0.5015588321596244,0.43661971830985913,0.5528169014084507,0
locomo_9,HAAR96_SIGN,43003.0,568,1.0,0.0,1,0.49891798708920193,0.45774647887323944,0.5334507042253521,0
locomo_9,HAAR96_SIGN,43004.0,568,1.0,0.0,1,0.5029159330985916,0.4647887323943662,0.5369718309859155,0
locomo_9,HAAR96_SIGN,43005.0,568,1.0,0.0,1,0.5016321889671361,0.45598591549295775,0.5580985915492958,0
locomo_9,ITQ96_CENTERED,101.0,568,1.0,0.0,1,0.498606220657277,0.4595070422535211,0.5316901408450704,0
locomo_9,ITQ96_CENTERED,202.0,568,1.0,0.0,1,0.5012654049295775,0.4630281690140845,0.5404929577464789,0
locomo_9,ITQ96_CENTERED,303.0,568,1.0,0.0,1,0.5006602112676056,0.4753521126760563,0.5387323943661971,0
locomo_9,ITQ96_CENTERED,404.0,568,1.0,0.0,1,0.4983861502347418,0.4595070422535211,0.5369718309859155,0
locomo_9,ITQ96_CENTERED,505.0,568,1.0,0.0,1,0.5007702464788732,0.47007042253521125,0.5299295774647887,0
