question_id,geometry,method,itq_seed,gold_mean,gold_median,non_gold_mean,non_gold_median,nearest_gold,nearest_non_gold,separation_non_gold_minus_gold_mean,gold_minus_non_gold_mean
06db6396,HAMMING,ITQ96_CENTERED,404.0,14.0,14.0,48.19706498951782,48.0,4.0,7.0,34.19706498951782,
06db6396,HAMMING,ITQ96_CENTERED,505.0,13.0,13.0,48.23270440251572,49.0,6.0,5.0,35.23270440251572,
06db6396,COSINE,FLOAT96_UNCENTERED,,0.8119578981211721,0.8119578981211721,0.06696127911596521,0.03985643137909403,0.9270576917092114,0.9218109648130973,-0.744996619005207,0.744996619005207
06db6396,COSINE,FLOAT96_CENTERED,,0.7964972511299679,0.7964972511299679,-0.002875619573312178,-0.015576966095940323,0.922075054823214,0.915792125965958,-0.7993728707032801,0.7993728707032801
06f04340,HAMMING,SIGN96_CENTERED,,45.0,45.0,47.20717131474104,47.0,45.0,27.0,2.2071713147410392,
06f04340,HAMMING,ITQ96_CENTERED,101.0,45.0,45.0,48.12948207171315,49.0,45.0,11.0,3.1294820717131486,
06f04340,HAMMING,ITQ96_CENTERED,202.0,48.0,48.0,47.81274900398407,49.0,48.0,11.0,-0.18725099601593342,
06f04340,HAMMING,ITQ96_CENTERED,303.0,50.0,50.0,47.91035856573705,50.0,50.0,9.0,-2.0896414342629512,
06f04340,HAMMING,ITQ96_CENTERED,404.0,50.0,50.0,47.908366533864545,49.0,50.0,11.0,-2.0916334661354554,
06f04340,HAMMING,ITQ96_CENTERED,505.0,46.0,46.0,47.97211155378486,49.0,46.0,5.0,1.9721115537848632,
06f04340,COSINE,FLOAT96_UNCENTERED,,0.1033639092550641,0.1033639092550641,0.09274433490914621,0.04890653432409026,0.1033639092550641,0.8649841979986946,-0.010619574345917884,0.010619574345917884
06f04340,COSINE,FLOAT96_CENTERED,,0.03374352455120018,0.03374352455120018,-0.0001562873396750539,-0.04334313124867794,0.03374352455120018,0.8512374459384847,-0.03389981189087524,0.03389981189087524
07741c44,HAMMING,SIGN96_CENTERED,,28.5,28.5,48.14090019569472,49.0,27.0,23.0,19.64090019569472,
07741c44,HAMMING,ITQ96_CENTERED,101.0,22.0,22.0,48.16438356164384,49.0,20.0,13.0,26.164383561643838,
07741c44,HAMMING,ITQ96_CENTERED,202.0,22.0,22.0,47.759295499021526,49.0,19.0,15.0,25.759295499021526,
07741c44,HAMMING,ITQ96_CENTERED,303.0,21.5,21.5,48.111545988258314,49.0,20.0,17.0,26.611545988258314,
07741c44,HAMMING,ITQ96_CENTERED,404.0,19.5,19.5,48.13111545988259,49.0,17.0,17.0,28.631115459882587,
07741c44,HAMMING,ITQ96_CENTERED,505.0,22.0,22.0,47.8238747553816,48.0,21.0,15.0,25.823874755381603,
07741c44,COSINE,FLOAT96_UNCENTERED,,0.706555017816088,0.706555017816088,0.057775643492225734,0.023636372240256245,0.7065625754941827,0.8036004052090188,-0.6487793743238622,0.6487793743238622
07741c44,COSINE,FLOAT96_CENTERED,,0.6907506566413604,0.6907506566413604,-0.0030716448240597086,-0.022530989439173525,0.6961009686162465,0.7929691280184988,-0.6938223014654201,0.6938223014654201
07741c45,HAMMING,SIGN96_CENTERED,,29.5,29.5,48.180952380952384,48.0,20.0,21.0,18.680952380952384,
07741c45,HAMMING,ITQ96_CENTERED,101.0,19.0,19.0,48.26285714285714,50.0,19.0,17.0,29.262857142857143,
07741c45,HAMMING,ITQ96_CENTERED,202.0,17.5,17.5,48.07047619047619,49.0,15.0,13.0,30.570476190476192,
07741c45,HAMMING,ITQ96_CENTERED,303.0,20.0,20.0,48.12571428571429,49.0,17.0,17.0,28.125714285714288,
07741c45,HAMMING,ITQ96_CENTERED,404.0,16.0,16.0,48.10857142857143,49.0,14.0,14.0,32.10857142857143,
07741c45,HAMMING,ITQ96_CENTERED,505.0,17.0,17.0,47.70095238095238,49.0,16.0,15.0,30.70095238095238,
07741c45,COSINE,FLOAT96_UNCENTERED,,0.7654670780225262,0.7654670780225262,0.06644006018886156,0.022417248483096744,0.8062990801662017,0.8116042695512948,-0.6990270178336646,0.6990270178336646
07741c45,COSINE,FLOAT96_CENTERED,,0.7443947302549196,0.7443947302549196,-0.001911345525243758,-0.03719339966467088,0.7941372100197477,0.7996848318673132,-0.7463060757801634,0.7463060757801634
078150f1,HAMMING,SIGN96_CENTERED,,27.333333333333332,26.0,48.13138686131387,48.0,25.0,31.0,20.79805352798054,
078150f1,HAMMING,ITQ96_CENTERED,101.0,23.666666666666668,26.0,48.11861313868613,50.0,15.0,16.0,24.45194647201946,
078150f1,HAMMING,ITQ96_CENTERED,202.0,27.0,28.0,47.90875912408759,49.0,19.0,23.0,20.908759124087588,
