question_id,N_archive,word_columns,char_columns,combined_columns,base_rep_fit_seconds,svd96_fit_seconds,itq96_fit_seconds_5seeds,query_transform_seconds,centered_doc_norm_min,centered_doc_norm_max,centered_query_norm
c4ea545c,490,39160,58296,97488,2.2799449470001036,4.821089425000082,1.5816122429998813,0.040942725999912,0.8455105362766381,1.0133256748568058,0.9585030810801505
c4f10528,485,39290,56467,95789,1.283560252999905,6.180752783999878,1.4610514660002991,0.06828530600000704,0.8517081392981088,1.0218425157042834,0.9551886198686329
c5e8278d,469,37308,51400,88740,0.9639310579999574,4.203242879999948,1.1590991100000565,0.023683337999955256,0.8614353648327236,1.0229984778870371,0.9866788835784547
c6853660,477,40130,58249,98411,1.5270693439999832,4.507278954999947,1.1824325869999939,0.021720846000107485,0.8550254536996011,1.0055488700841675,0.9571317183616503
c7cf7dfd,520,38431,56047,94510,1.6953389929999503,4.505968334000045,1.4172822610000821,0.0705907040000966,0.85378714597148,1.009638209222195,0.9853949662339748
c7dc5443,478,39098,57482,96612,1.7729967899999792,4.404476263000106,1.111250987999938,0.029532071999938125,0.8448853870109835,0.9949064032114447,0.9805056158643063
c8090214,459,38568,61677,100277,1.174738380000008,4.160085542000161,1.303903228000081,0.07095940499993958,0.8383994471813335,1.0000446301272283,0.9553522975526622
c8c3f81d,487,39669,59559,99260,1.3983462509999072,5.06285185999991,1.2532482640000353,0.09184057699997084,0.8205989267676714,1.004370291210554,0.9829630206887938
c8f1aeed,504,38972,59472,98476,1.819925454999975,5.503921422000076,1.3171707770000012,0.05461124900011782,0.8317973516604006,1.0233785520833323,0.923352027915488
c960da58,504,39756,64494,104282,1.6286787919999597,5.516983808000077,1.465314201000183,0.04612819900000886,0.8393764570173727,1.0115348028952742,0.9913891094797387
c9f37c46,511,38950,57536,96518,1.7986247070000445,5.205146554000066,1.7372020979998979,0.035329234000073484,0.8451727497178552,1.0182646489466574,0.9766245050833873
caf03d32,493,40792,64911,105735,1.0379759480001667,4.167756056999906,1.1806545159995494,0.028208062999965478,0.8571707958839458,0.9996466999591557,0.9567248413471303
