question_id,method,itq_seed,N_archive,min_hamming_distance,candidates_at_min_distance,top3_boundary_distance,candidates_at_top3_boundary_distance,slots_remaining_at_boundary,top3_boundary_tie,boundary_tie_size_median,boundary_tie_size_p90,boundary_tie_size_max
07741c44,ITQ96_CENTERED,404.0,513,17.0,2.0,18.0,1.0,1.0,0.0,,,
07741c44,ITQ96_CENTERED,505.0,513,15.0,1.0,20.0,2.0,1.0,1.0,,,
07741c45,SIGN96_CENTERED,,527,20.0,1.0,25.0,1.0,1.0,0.0,,,
07741c45,ITQ96_CENTERED,101.0,527,17.0,1.0,19.0,3.0,2.0,1.0,,,
07741c45,ITQ96_CENTERED,202.0,527,13.0,1.0,15.0,2.0,2.0,0.0,,,
07741c45,ITQ96_CENTERED,303.0,527,17.0,2.0,19.0,1.0,1.0,0.0,,,
07741c45,ITQ96_CENTERED,404.0,527,14.0,3.0,14.0,3.0,3.0,0.0,,,
07741c45,ITQ96_CENTERED,505.0,527,15.0,1.0,16.0,2.0,2.0,0.0,,,
078150f1,SIGN96_CENTERED,,551,25.0,1.0,31.0,2.0,1.0,1.0,,,
078150f1,ITQ96_CENTERED,101.0,551,15.0,1.0,17.0,2.0,1.0,1.0,,,
078150f1,ITQ96_CENTERED,202.0,551,19.0,1.0,24.0,6.0,1.0,1.0,,,
078150f1,ITQ96_CENTERED,303.0,551,20.0,1.0,27.0,2.0,1.0,1.0,,,
078150f1,ITQ96_CENTERED,404.0,551,23.0,2.0,24.0,2.0,1.0,1.0,,,
078150f1,ITQ96_CENTERED,505.0,551,22.0,3.0,22.0,3.0,3.0,0.0,,,
07b6f563,SIGN96_CENTERED,,524,28.0,1.0,33.0,1.0,1.0,0.0,,,
07b6f563,ITQ96_CENTERED,101.0,524,20.0,4.0,20.0,4.0,3.0,1.0,,,
07b6f563,ITQ96_CENTERED,202.0,524,21.0,1.0,22.0,4.0,2.0,1.0,,,
07b6f563,ITQ96_CENTERED,303.0,524,18.0,1.0,19.0,2.0,2.0,0.0,,,
07b6f563,ITQ96_CENTERED,404.0,524,16.0,2.0,17.0,1.0,1.0,0.0,,,
07b6f563,ITQ96_CENTERED,505.0,524,18.0,5.0,18.0,5.0,3.0,1.0,,,
0862e8bf,SIGN96_CENTERED,,490,22.0,1.0,27.0,4.0,2.0,1.0,,,
0862e8bf,ITQ96_CENTERED,101.0,490,12.0,1.0,16.0,3.0,1.0,1.0,,,
0862e8bf,ITQ96_CENTERED,202.0,490,9.0,3.0,9.0,3.0,3.0,0.0,,,
0862e8bf,ITQ96_CENTERED,303.0,490,12.0,4.0,12.0,4.0,3.0,1.0,,,
0862e8bf,ITQ96_CENTERED,404.0,490,10.0,1.0,13.0,2.0,1.0,1.0,,,
0862e8bf,ITQ96_CENTERED,505.0,490,10.0,1.0,12.0,1.0,1.0,0.0,,,
08e075c7,SIGN96_CENTERED,,484,25.0,1.0,27.0,1.0,1.0,0.0,,,
08e075c7,ITQ96_CENTERED,101.0,484,19.0,1.0,21.0,1.0,1.0,0.0,,,
08e075c7,ITQ96_CENTERED,202.0,484,17.0,1.0,23.0,1.0,1.0,0.0,,,
08e075c7,ITQ96_CENTERED,303.0,484,13.0,1.0,15.0,2.0,2.0,0.0,,,
08e075c7,ITQ96_CENTERED,404.0,484,12.0,1.0,18.0,1.0,1.0,0.0,,,
08e075c7,ITQ96_CENTERED,505.0,484,17.0,1.0,21.0,1.0,1.0,0.0,,,
08f4fc43,SIGN96_CENTERED,,480,17.0,2.0,22.0,1.0,1.0,0.0,,,
08f4fc43,ITQ96_CENTERED,101.0,480,9.0,1.0,14.0,2.0,2.0,0.0,,,
08f4fc43,ITQ96_CENTERED,202.0,480,12.0,1.0,19.0,2.0,1.0,1.0,,,
08f4fc43,ITQ96_CENTERED,303.0,480,7.0,1.0,15.0,2.0,1.0,1.0,,,
08f4fc43,ITQ96_CENTERED,404.0,480,16.0,1.0,18.0,3.0,1.0,1.0,,,
08f4fc43,ITQ96_CENTERED,505.0,480,14.0,2.0,16.0,1.0,1.0,0.0,,,
0977f2af,SIGN96_CENTERED,,484,29.0,1.0,33.0,2.0,1.0,1.0,,,
0977f2af,ITQ96_CENTERED,101.0,484,27.0,1.0,29.0,1.0,1.0,0.0,,,
0977f2af,ITQ96_CENTERED,202.0,484,28.0,2.0,29.0,1.0,1.0,0.0,,,
0977f2af,ITQ96_CENTERED,303.0,484,30.0,2.0,31.0,3.0,1.0,1.0,,,
0977f2af,ITQ96_CENTERED,404.0,484,29.0,1.0,30.0,2.0,2.0,0.0,,,
0977f2af,ITQ96_CENTERED,505.0,484,27.0,2.0,28.0,1.0,1.0,0.0,,,
099778bb,SIGN96_CENTERED,,466,18.0,1.0,23.0,1.0,1.0,0.0,,,
099778bb,ITQ96_CENTERED,101.0,466,6.0,1.0,7.0,2.0,2.0,0.0,,,
099778bb,ITQ96_CENTERED,202.0,466,6.0,1.0,8.0,2.0,1.0,1.0,,,
099778bb,ITQ96_CENTERED,303.0,466,3.0,1.0,7.0,2.0,2.0,0.0,,,
099778bb,ITQ96_CENTERED,404.0,466,2.0,1.0,5.0,1.0,1.0,0.0,,,
099778bb,ITQ96_CENTERED,505.0,466,7.0,2.0,9.0,1.0,1.0,0.0,,,
09ba9854,SIGN96_CENTERED,,479,25.0,1.0,27.0,2.0,1.0,1.0,,,
09ba9854,ITQ96_CENTERED,101.0,479,14.0,1.0,15.0,5.0,2.0,1.0,,,
09ba9854,ITQ96_CENTERED,202.0,479,9.0,1.0,14.0,2.0,1.0,1.0,,,
09ba9854,ITQ96_CENTERED,303.0,479,12.0,3.0,12.0,3.0,3.0,0.0,,,
09ba9854,ITQ96_CENTERED,404.0,479,13.0,1.0,15.0,2.0,2.0,0.0,,,
09ba9854,ITQ96_CENTERED,505.0,479,10.0,1.0,12.0,1.0,1.0,0.0,,,
09d032c9,SIGN96_CENTERED,,481,30.0,1.0,32.0,1.0,1.0,0.0,,,
09d032c9,ITQ96_CENTERED,101.0,481,24.0,1.0,29.0,1.0,1.0,0.0,,,
09d032c9,ITQ96_CENTERED,202.0,481,23.0,1.0,24.0,3.0,2.0,1.0,,,
09d032c9,ITQ96_CENTERED,303.0,481,28.0,1.0,30.0,2.0,2.0,0.0,,,
09d032c9,ITQ96_CENTERED,404.0,481,25.0,1.0,30.0,2.0,2.0,0.0,,,
09d032c9,ITQ96_CENTERED,505.0,481,30.0,1.0,32.0,2.0,2.0,0.0,,,
0a34ad58,SIGN96_CENTERED,,485,32.0,2.0,34.0,1.0,1.0,0.0,,,
0a34ad58,ITQ96_CENTERED,101.0,485,17.0,1.0,18.0,2.0,2.0,0.0,,,
0a34ad58,ITQ96_CENTERED,202.0,485,20.0,1.0,21.0,3.0,2.0,1.0,,,
0a34ad58,ITQ96_CENTERED,303.0,485,13.0,2.0,15.0,2.0,1.0,1.0,,,
0a34ad58,ITQ96_CENTERED,404.0,485,14.0,1.0,16.0,2.0,2.0,0.0,,,
0a34ad58,ITQ96_CENTERED,505.0,485,15.0,3.0,15.0,3.0,3.0,0.0,,,
0a995998,SIGN96_CENTERED,,484,15.0,1.0,28.0,1.0,1.0,0.0,,,
0a995998,ITQ96_CENTERED,101.0,484,18.0,1.0,20.0,1.0,1.0,0.0,,,
0a995998,ITQ96_CENTERED,202.0,484,14.0,1.0,24.0,4.0,2.0,1.0,,,
0a995998,ITQ96_CENTERED,303.0,484,14.0,1.0,23.0,1.0,1.0,0.0,,,
0a995998,ITQ96_CENTERED,404.0,484,12.0,1.0,22.0,2.0,2.0,0.0,,,
0a995998,ITQ96_CENTERED,505.0,484,17.0,1.0,21.0,2.0,2.0,0.0,,,
0bb5a684,SIGN96_CENTERED,,463,21.0,1.0,25.0,2.0,2.0,0.0,,,
0bb5a684,ITQ96_CENTERED,101.0,463,8.0,2.0,9.0,2.0,1.0,1.0,,,
0bb5a684,ITQ96_CENTERED,202.0,463,3.0,2.0,5.0,1.0,1.0,0.0,,,
0bb5a684,ITQ96_CENTERED,303.0,463,7.0,1.0,9.0,2.0,2.0,0.0,,,
0bb5a684,ITQ96_CENTERED,404.0,463,5.0,2.0,6.0,1.0,1.0,0.0,,,
0bb5a684,ITQ96_CENTERED,505.0,463,3.0,1.0,8.0,1.0,1.0,0.0,,,
0bc8ad92,SIGN96_CENTERED,,443,29.0,2.0,30.0,2.0,1.0,1.0,,,
0bc8ad92,ITQ96_CENTERED,101.0,443,12.0,2.0,13.0,2.0,1.0,1.0,,,
0bc8ad92,ITQ96_CENTERED,202.0,443,11.0,1.0,14.0,1.0,1.0,0.0,,,
0bc8ad92,ITQ96_CENTERED,303.0,443,11.0,1.0,12.0,3.0,2.0,1.0,,,
0bc8ad92,ITQ96_CENTERED,404.0,443,9.0,1.0,14.0,4.0,1.0,1.0,,,
0bc8ad92,ITQ96_CENTERED,505.0,443,13.0,1.0,15.0,2.0,1.0,1.0,,,
0bc8ad93,SIGN96_CENTERED,,486,30.0,1.0,32.0,1.0,1.0,0.0,,,
0bc8ad93,ITQ96_CENTERED,101.0,486,14.0,1.0,17.0,1.0,1.0,0.0,,,
0bc8ad93,ITQ96_CENTERED,202.0,486,18.0,1.0,19.0,2.0,2.0,0.0,,,
0bc8ad93,ITQ96_CENTERED,303.0,486,17.0,1.0,18.0,3.0,2.0,1.0,,,
0bc8ad93,ITQ96_CENTERED,404.0,486,17.0,2.0,18.0,1.0,1.0,0.0,,,
0bc8ad93,ITQ96_CENTERED,505.0,486,16.0,2.0,17.0,1.0,1.0,0.0,,,
0db4c65d,SIGN96_CENTERED,,462,13.0,1.0,26.0,1.0,1.0,0.0,,,
0db4c65d,ITQ96_CENTERED,101.0,462,13.0,1.0,15.0,2.0,2.0,0.0,,,
0db4c65d,ITQ96_CENTERED,202.0,462,14.0,1.0,16.0,3.0,1.0,1.0,,,
0db4c65d,ITQ96_CENTERED,303.0,462,13.0,1.0,16.0,1.0,1.0,0.0,,,
0db4c65d,ITQ96_CENTERED,404.0,462,14.0,3.0,14.0,3.0,3.0,0.0,,,
0db4c65d,ITQ96_CENTERED,505.0,462,9.0,1.0,15.0,2.0,1.0,1.0,,,
0ddfec37,SIGN96_CENTERED,,483,18.0,1.0,26.0,1.0,1.0,0.0,,,
0ddfec37,ITQ96_CENTERED,101.0,483,11.0,1.0,15.0,1.0,1.0,0.0,,,
0ddfec37,ITQ96_CENTERED,202.0,483,14.0,2.0,17.0,1.0,1.0,0.0,,,
0ddfec37,ITQ96_CENTERED,303.0,483,12.0,1.0,16.0,2.0,1.0,1.0,,,
0ddfec37,ITQ96_CENTERED,404.0,483,12.0,1.0,14.0,1.0,1.0,0.0,,,
0ddfec37,ITQ96_CENTERED,505.0,483,13.0,2.0,14.0,1.0,1.0,0.0,,,
0e4e4c46,SIGN96_CENTERED,,481,25.0,1.0,29.0,2.0,2.0,0.0,,,
0e4e4c46,ITQ96_CENTERED,101.0,481,14.0,3.0,14.0,3.0,3.0,0.0,,,
0e4e4c46,ITQ96_CENTERED,202.0,481,13.0,1.0,14.0,2.0,2.0,0.0,,,
0e4e4c46,ITQ96_CENTERED,303.0,481,12.0,1.0,13.0,2.0,2.0,0.0,,,
0e4e4c46,ITQ96_CENTERED,404.0,481,8.0,2.0,12.0,1.0,1.0,0.0,,,
0e4e4c46,ITQ96_CENTERED,505.0,481,11.0,1.0,13.0,1.0,1.0,0.0,,,
0e5e2d1a,SIGN96_CENTERED,,450,12.0,1.0,27.0,1.0,1.0,0.0,,,
0e5e2d1a,ITQ96_CENTERED,101.0,450,0.0,4.0,0.0,4.0,3.0,1.0,,,
0e5e2d1a,ITQ96_CENTERED,202.0,450,0.0,1.0,1.0,4.0,2.0,1.0,,,
0e5e2d1a,ITQ96_CENTERED,303.0,450,0.0,6.0,0.0,6.0,3.0,1.0,,,
0e5e2d1a,ITQ96_CENTERED,404.0,450,0.0,3.0,0.0,3.0,3.0,0.0,,,
0e5e2d1a,ITQ96_CENTERED,505.0,450,0.0,4.0,0.0,4.0,3.0,1.0,,,
0ea62687,SIGN96_CENTERED,,460,16.0,1.0,31.0,1.0,1.0,0.0,,,
0ea62687,ITQ96_CENTERED,101.0,460,14.0,1.0,16.0,1.0,1.0,0.0,,,
0ea62687,ITQ96_CENTERED,202.0,460,5.0,1.0,12.0,1.0,1.0,0.0,,,
0ea62687,ITQ96_CENTERED,303.0,460,7.0,1.0,13.0,1.0,1.0,0.0,,,
0ea62687,ITQ96_CENTERED,404.0,460,6.0,1.0,16.0,1.0,1.0,0.0,,,
0ea62687,ITQ96_CENTERED,505.0,460,9.0,1.0,14.0,1.0,1.0,0.0,,,
0edc2aef,SIGN96_CENTERED,,475,34.0,3.0,34.0,3.0,3.0,0.0,,,
0edc2aef,ITQ96_CENTERED,101.0,475,19.0,1.0,20.0,2.0,2.0,0.0,,,
0edc2aef,ITQ96_CENTERED,202.0,475,19.0,1.0,23.0,2.0,1.0,1.0,,,
0edc2aef,ITQ96_CENTERED,303.0,475,22.0,2.0,24.0,1.0,1.0,0.0,,,
0edc2aef,ITQ96_CENTERED,404.0,475,25.0,1.0,26.0,5.0,2.0,1.0,,,
0edc2aef,ITQ96_CENTERED,505.0,475,19.0,1.0,22.0,2.0,1.0,1.0,,,
0f05491a,SIGN96_CENTERED,,489,16.0,1.0,20.0,1.0,1.0,0.0,,,
0f05491a,ITQ96_CENTERED,101.0,489,3.0,1.0,4.0,3.0,2.0,1.0,,,
0f05491a,ITQ96_CENTERED,202.0,489,3.0,2.0,4.0,1.0,1.0,0.0,,,
0f05491a,ITQ96_CENTERED,303.0,489,2.0,1.0,3.0,2.0,2.0,0.0,,,
0f05491a,ITQ96_CENTERED,404.0,489,3.0,2.0,4.0,1.0,1.0,0.0,,,
0f05491a,ITQ96_CENTERED,505.0,489,1.0,2.0,2.0,1.0,1.0,0.0,,,
10d9b85a,SIGN96_CENTERED,,466,32.0,1.0,36.0,2.0,1.0,1.0,,,
10d9b85a,ITQ96_CENTERED,101.0,466,26.0,1.0,30.0,1.0,1.0,0.0,,,
10d9b85a,ITQ96_CENTERED,202.0,466,26.0,1.0,30.0,1.0,1.0,0.0,,,
10d9b85a,ITQ96_CENTERED,303.0,466,30.0,2.0,31.0,3.0,1.0,1.0,,,
10d9b85a,ITQ96_CENTERED,404.0,466,29.0,1.0,30.0,2.0,2.0,0.0,,,
10d9b85a,ITQ96_CENTERED,505.0,466,31.0,1.0,32.0,2.0,2.0,0.0,,,
10e09553,SIGN96_CENTERED,,472,21.0,1.0,24.0,2.0,2.0,0.0,,,
10e09553,ITQ96_CENTERED,101.0,472,7.0,1.0,9.0,1.0,1.0,0.0,,,
10e09553,ITQ96_CENTERED,202.0,472,9.0,1.0,12.0,3.0,1.0,1.0,,,
10e09553,ITQ96_CENTERED,303.0,472,8.0,1.0,9.0,2.0,2.0,0.0,,,
10e09553,ITQ96_CENTERED,404.0,472,10.0,1.0,12.0,2.0,2.0,0.0,,,
10e09553,ITQ96_CENTERED,505.0,472,10.0,1.0,11.0,2.0,2.0,0.0,,,
118b2229,SIGN96_CENTERED,,485,23.0,1.0,31.0,1.0,1.0,0.0,,,
118b2229,ITQ96_CENTERED,101.0,485,13.0,1.0,15.0,2.0,2.0,0.0,,,
118b2229,ITQ96_CENTERED,202.0,485,11.0,1.0,12.0,2.0,2.0,0.0,,,
118b2229,ITQ96_CENTERED,303.0,485,11.0,1.0,12.0,2.0,2.0,0.0,,,
118b2229,ITQ96_CENTERED,404.0,485,12.0,1.0,13.0,2.0,2.0,0.0,,,
118b2229,ITQ96_CENTERED,505.0,485,9.0,1.0,13.0,1.0,1.0,0.0,,,
1192316e,SIGN96_CENTERED,,467,26.0,1.0,30.0,1.0,1.0,0.0,,,
1192316e,ITQ96_CENTERED,101.0,467,20.0,1.0,22.0,3.0,2.0,1.0,,,
1192316e,ITQ96_CENTERED,202.0,467,16.0,1.0,18.0,1.0,1.0,0.0,,,
1192316e,ITQ96_CENTERED,303.0,467,24.0,1.0,26.0,1.0,1.0,0.0,,,
1192316e,ITQ96_CENTERED,404.0,467,19.0,1.0,21.0,2.0,1.0,1.0,,,
1192316e,ITQ96_CENTERED,505.0,467,19.0,1.0,22.0,1.0,1.0,0.0,,,
129d1232,SIGN96_CENTERED,,451,24.0,1.0,29.0,2.0,2.0,0.0,,,
129d1232,ITQ96_CENTERED,101.0,451,15.0,1.0,22.0,1.0,1.0,0.0,,,
129d1232,ITQ96_CENTERED,202.0,451,16.0,1.0,19.0,1.0,1.0,0.0,,,
129d1232,ITQ96_CENTERED,303.0,451,16.0,1.0,17.0,2.0,2.0,0.0,,,
129d1232,ITQ96_CENTERED,404.0,451,21.0,1.0,26.0,2.0,2.0,0.0,,,
129d1232,ITQ96_CENTERED,505.0,451,17.0,1.0,25.0,1.0,1.0,0.0,,,
1568498a,SIGN96_CENTERED,,478,23.0,1.0,29.0,1.0,1.0,0.0,,,
1568498a,ITQ96_CENTERED,101.0,478,30.0,1.0,32.0,3.0,1.0,1.0,,,
1568498a,ITQ96_CENTERED,202.0,478,30.0,2.0,31.0,8.0,1.0,1.0,,,
1568498a,ITQ96_CENTERED,303.0,478,31.0,7.0,31.0,7.0,3.0,1.0,,,
1568498a,ITQ96_CENTERED,404.0,478,27.0,2.0,28.0,3.0,1.0,1.0,,,
1568498a,ITQ96_CENTERED,505.0,478,31.0,2.0,33.0,1.0,1.0,0.0,,,
15745da0,SIGN96_CENTERED,,474,14.0,1.0,27.0,1.0,1.0,0.0,,,
15745da0,ITQ96_CENTERED,101.0,474,15.0,1.0,17.0,2.0,1.0,1.0,,,
15745da0,ITQ96_CENTERED,202.0,474,12.0,1.0,15.0,1.0,1.0,0.0,,,
15745da0,ITQ96_CENTERED,303.0,474,14.0,4.0,14.0,4.0,3.0,1.0,,,
15745da0,ITQ96_CENTERED,404.0,474,10.0,2.0,11.0,1.0,1.0,0.0,,,
15745da0,ITQ96_CENTERED,505.0,474,15.0,1.0,16.0,2.0,2.0,0.0,,,
157a136e,SIGN96_CENTERED,,503,22.0,1.0,27.0,1.0,1.0,0.0,,,
157a136e,ITQ96_CENTERED,101.0,503,11.0,5.0,11.0,5.0,3.0,1.0,,,
157a136e,ITQ96_CENTERED,202.0,503,12.0,3.0,12.0,3.0,3.0,0.0,,,
157a136e,ITQ96_CENTERED,303.0,503,10.0,1.0,11.0,3.0,2.0,1.0,,,
157a136e,ITQ96_CENTERED,404.0,503,12.0,3.0,12.0,3.0,3.0,0.0,,,
157a136e,ITQ96_CENTERED,505.0,503,8.0,3.0,8.0,3.0,3.0,0.0,,,
16c90bf4,SIGN96_CENTERED,,509,16.0,1.0,25.0,1.0,1.0,0.0,,,
16c90bf4,ITQ96_CENTERED,101.0,509,7.0,1.0,11.0,2.0,1.0,1.0,,,
16c90bf4,ITQ96_CENTERED,202.0,509,7.0,1.0,10.0,1.0,1.0,0.0,,,
16c90bf4,ITQ96_CENTERED,303.0,509,9.0,1.0,10.0,2.0,2.0,0.0,,,
16c90bf4,ITQ96_CENTERED,404.0,509,6.0,1.0,9.0,2.0,2.0,0.0,,,
16c90bf4,ITQ96_CENTERED,505.0,509,10.0,1.0,12.0,1.0,1.0,0.0,,,
184da446,SIGN96_CENTERED,,473,21.0,1.0,29.0,1.0,1.0,0.0,,,
184da446,ITQ96_CENTERED,101.0,473,13.0,1.0,22.0,1.0,1.0,0.0,,,
184da446,ITQ96_CENTERED,202.0,473,20.0,1.0,24.0,1.0,1.0,0.0,,,
184da446,ITQ96_CENTERED,303.0,473,17.0,1.0,25.0,1.0,1.0,0.0,,,
184da446,ITQ96_CENTERED,404.0,473,17.0,1.0,23.0,3.0,1.0,1.0,,,
184da446,ITQ96_CENTERED,505.0,473,13.0,1.0,19.0,1.0,1.0,0.0,,,
18bc8abd,SIGN96_CENTERED,,436,16.0,1.0,21.0,1.0,1.0,0.0,,,
18bc8abd,ITQ96_CENTERED,101.0,436,10.0,1.0,13.0,1.0,1.0,0.0,,,
18bc8abd,ITQ96_CENTERED,202.0,436,9.0,2.0,13.0,1.0,1.0,0.0,,,
18bc8abd,ITQ96_CENTERED,303.0,436,12.0,2.0,17.0,2.0,1.0,1.0,,,
18bc8abd,ITQ96_CENTERED,404.0,436,10.0,1.0,12.0,1.0,1.0,0.0,,,
18bc8abd,ITQ96_CENTERED,505.0,436,10.0,2.0,14.0,1.0,1.0,0.0,,,
18dcd5a5,SIGN96_CENTERED,,503,26.0,1.0,32.0,2.0,2.0,0.0,,,
18dcd5a5,ITQ96_CENTERED,101.0,503,18.0,1.0,21.0,3.0,2.0,1.0,,,
18dcd5a5,ITQ96_CENTERED,202.0,503,17.0,1.0,20.0,3.0,1.0,1.0,,,
18dcd5a5,ITQ96_CENTERED,303.0,503,24.0,2.0,25.0,2.0,1.0,1.0,,,
18dcd5a5,ITQ96_CENTERED,404.0,503,19.0,1.0,22.0,1.0,1.0,0.0,,,
18dcd5a5,ITQ96_CENTERED,505.0,503,22.0,1.0,25.0,2.0,1.0,1.0,,,
1903aded,SIGN96_CENTERED,,486,30.0,1.0,35.0,2.0,1.0,1.0,,,
1903aded,ITQ96_CENTERED,101.0,486,21.0,2.0,28.0,3.0,1.0,1.0,,,
1903aded,ITQ96_CENTERED,202.0,486,24.0,1.0,27.0,1.0,1.0,0.0,,,
1903aded,ITQ96_CENTERED,303.0,486,23.0,1.0,26.0,6.0,1.0,1.0,,,
1903aded,ITQ96_CENTERED,404.0,486,23.0,1.0,26.0,4.0,2.0,1.0,,,
1903aded,ITQ96_CENTERED,505.0,486,21.0,2.0,22.0,1.0,1.0,0.0,,,
195a1a1b,SIGN96_CENTERED,,515,26.0,1.0,34.0,2.0,1.0,1.0,,,
195a1a1b,ITQ96_CENTERED,101.0,515,30.0,2.0,31.0,7.0,1.0,1.0,,,
195a1a1b,ITQ96_CENTERED,202.0,515,31.0,1.0,32.0,2.0,2.0,0.0,,,
195a1a1b,ITQ96_CENTERED,303.0,515,27.0,4.0,27.0,4.0,3.0,1.0,,,
195a1a1b,ITQ96_CENTERED,404.0,515,27.0,1.0,29.0,4.0,1.0,1.0,,,
195a1a1b,ITQ96_CENTERED,505.0,515,27.0,1.0,28.0,5.0,2.0,1.0,,,
19b5f2b3,SIGN96_CENTERED,,482,17.0,1.0,24.0,1.0,1.0,0.0,,,
19b5f2b3,ITQ96_CENTERED,101.0,482,12.0,1.0,18.0,1.0,1.0,0.0,,,
19b5f2b3,ITQ96_CENTERED,202.0,482,9.0,1.0,13.0,2.0,1.0,1.0,,,
19b5f2b3,ITQ96_CENTERED,303.0,482,9.0,1.0,12.0,1.0,1.0,0.0,,,
19b5f2b3,ITQ96_CENTERED,404.0,482,12.0,1.0,15.0,2.0,2.0,0.0,,,
19b5f2b3,ITQ96_CENTERED,505.0,482,13.0,1.0,16.0,2.0,1.0,1.0,,,
1a1907b4,SIGN96_CENTERED,,532,28.0,1.0,31.0,2.0,1.0,1.0,,,
1a1907b4,ITQ96_CENTERED,101.0,532,21.0,1.0,25.0,1.0,1.0,0.0,,,
1a1907b4,ITQ96_CENTERED,202.0,532,23.0,1.0,24.0,2.0,2.0,0.0,,,
1a1907b4,ITQ96_CENTERED,303.0,532,19.0,2.0,26.0,1.0,1.0,0.0,,,
1a1907b4,ITQ96_CENTERED,404.0,532,25.0,1.0,30.0,4.0,1.0,1.0,,,
1a1907b4,ITQ96_CENTERED,505.0,532,26.0,3.0,26.0,3.0,3.0,0.0,,,
1a8a66a6,SIGN96_CENTERED,,501,22.0,1.0,27.0,1.0,1.0,0.0,,,
1a8a66a6,ITQ96_CENTERED,101.0,501,18.0,1.0,20.0,1.0,1.0,0.0,,,
1a8a66a6,ITQ96_CENTERED,202.0,501,20.0,1.0,24.0,1.0,1.0,0.0,,,
1a8a66a6,ITQ96_CENTERED,303.0,501,13.0,1.0,21.0,2.0,1.0,1.0,,,
1a8a66a6,ITQ96_CENTERED,404.0,501,16.0,1.0,19.0,2.0,2.0,0.0,,,
1a8a66a6,ITQ96_CENTERED,505.0,501,15.0,1.0,21.0,1.0,1.0,0.0,,,
1b9b7252,SIGN96_CENTERED,,466,11.0,1.0,30.0,1.0,1.0,0.0,,,
1b9b7252,ITQ96_CENTERED,101.0,466,1.0,1.0,10.0,2.0,1.0,1.0,,,
1b9b7252,ITQ96_CENTERED,202.0,466,4.0,1.0,9.0,2.0,2.0,0.0,,,
1b9b7252,ITQ96_CENTERED,303.0,466,3.0,1.0,9.0,1.0,1.0,0.0,,,
1b9b7252,ITQ96_CENTERED,404.0,466,3.0,1.0,9.0,2.0,1.0,1.0,,,
1b9b7252,ITQ96_CENTERED,505.0,466,3.0,1.0,9.0,1.0,1.0,0.0,,,
1c0ddc50,SIGN96_CENTERED,,548,29.0,1.0,31.0,3.0,2.0,1.0,,,
1c0ddc50,ITQ96_CENTERED,101.0,548,21.0,3.0,21.0,3.0,3.0,0.0,,,
1c0ddc50,ITQ96_CENTERED,202.0,548,20.0,1.0,23.0,3.0,1.0,1.0,,,
1c0ddc50,ITQ96_CENTERED,303.0,548,23.0,1.0,25.0,3.0,2.0,1.0,,,
1c0ddc50,ITQ96_CENTERED,404.0,548,21.0,2.0,22.0,2.0,1.0,1.0,,,
1c0ddc50,ITQ96_CENTERED,505.0,548,19.0,2.0,22.0,2.0,1.0,1.0,,,
1c549ce4,SIGN96_CENTERED,,462,22.0,1.0,28.0,1.0,1.0,0.0,,,
1c549ce4,ITQ96_CENTERED,101.0,462,11.0,1.0,13.0,1.0,1.0,0.0,,,
1c549ce4,ITQ96_CENTERED,202.0,462,14.0,3.0,14.0,3.0,3.0,0.0,,,
1c549ce4,ITQ96_CENTERED,303.0,462,12.0,1.0,15.0,1.0,1.0,0.0,,,
1c549ce4,ITQ96_CENTERED,404.0,462,7.0,1.0,11.0,1.0,1.0,0.0,,,
1c549ce4,ITQ96_CENTERED,505.0,462,9.0,2.0,12.0,1.0,1.0,0.0,,,
1cea1afa,SIGN96_CENTERED,,485,25.0,1.0,31.0,1.0,1.0,0.0,,,
1cea1afa,ITQ96_CENTERED,101.0,485,7.0,1.0,12.0,3.0,1.0,1.0,,,
1cea1afa,ITQ96_CENTERED,202.0,485,13.0,2.0,14.0,1.0,1.0,0.0,,,
1cea1afa,ITQ96_CENTERED,303.0,485,11.0,1.0,13.0,1.0,1.0,0.0,,,
1cea1afa,ITQ96_CENTERED,404.0,485,11.0,2.0,12.0,1.0,1.0,0.0,,,
1cea1afa,ITQ96_CENTERED,505.0,485,13.0,2.0,14.0,2.0,1.0,1.0,,,
1d4da289,SIGN96_CENTERED,,506,8.0,1.0,23.0,1.0,1.0,0.0,,,
1d4da289,ITQ96_CENTERED,101.0,506,6.0,2.0,8.0,1.0,1.0,0.0,,,
1d4da289,ITQ96_CENTERED,202.0,506,5.0,1.0,8.0,2.0,2.0,0.0,,,
1d4da289,ITQ96_CENTERED,303.0,506,3.0,1.0,7.0,1.0,1.0,0.0,,,
1d4da289,ITQ96_CENTERED,404.0,506,6.0,1.0,8.0,1.0,1.0,0.0,,,
1d4da289,ITQ96_CENTERED,505.0,506,3.0,1.0,5.0,2.0,2.0,0.0,,,
1d4e3b97,SIGN96_CENTERED,,474,25.0,2.0,28.0,1.0,1.0,0.0,,,
1d4e3b97,ITQ96_CENTERED,101.0,474,5.0,1.0,8.0,2.0,1.0,1.0,,,
1d4e3b97,ITQ96_CENTERED,202.0,474,6.0,1.0,8.0,1.0,1.0,0.0,,,
1d4e3b97,ITQ96_CENTERED,303.0,474,7.0,1.0,9.0,1.0,1.0,0.0,,,
1d4e3b97,ITQ96_CENTERED,404.0,474,5.0,1.0,10.0,1.0,1.0,0.0,,,
1d4e3b97,ITQ96_CENTERED,505.0,474,8.0,1.0,11.0,2.0,2.0,0.0,,,
