question_id,method,itq_seed,N_archive,min_hamming_distance,candidates_at_min_distance,top3_boundary_distance,candidates_at_top3_boundary_distance,slots_remaining_at_boundary,top3_boundary_tie,boundary_tie_size_median,boundary_tie_size_p90,boundary_tie_size_max
726462e0,ITQ96_CENTERED,202.0,501,32.0,1.0,33.0,2.0,2.0,0.0,,,
726462e0,ITQ96_CENTERED,303.0,501,30.0,1.0,32.0,1.0,1.0,0.0,,,
726462e0,ITQ96_CENTERED,404.0,501,31.0,1.0,34.0,4.0,2.0,1.0,,,
726462e0,ITQ96_CENTERED,505.0,501,32.0,3.0,32.0,3.0,3.0,0.0,,,
72e3ee87,SIGN96_CENTERED,,496,20.0,1.0,22.0,2.0,2.0,0.0,,,
72e3ee87,ITQ96_CENTERED,101.0,496,11.0,1.0,19.0,1.0,1.0,0.0,,,
72e3ee87,ITQ96_CENTERED,202.0,496,12.0,1.0,21.0,1.0,1.0,0.0,,,
72e3ee87,ITQ96_CENTERED,303.0,496,16.0,1.0,21.0,1.0,1.0,0.0,,,
72e3ee87,ITQ96_CENTERED,404.0,496,17.0,2.0,18.0,1.0,1.0,0.0,,,
72e3ee87,ITQ96_CENTERED,505.0,496,20.0,2.0,21.0,2.0,1.0,1.0,,,
73d42213,SIGN96_CENTERED,,516,20.0,1.0,27.0,1.0,1.0,0.0,,,
73d42213,ITQ96_CENTERED,101.0,516,14.0,1.0,15.0,2.0,2.0,0.0,,,
73d42213,ITQ96_CENTERED,202.0,516,15.0,1.0,19.0,2.0,1.0,1.0,,,
73d42213,ITQ96_CENTERED,303.0,516,14.0,1.0,18.0,2.0,1.0,1.0,,,
73d42213,ITQ96_CENTERED,404.0,516,13.0,1.0,14.0,2.0,2.0,0.0,,,
73d42213,ITQ96_CENTERED,505.0,516,16.0,2.0,17.0,2.0,1.0,1.0,,,
7401057b,SIGN96_CENTERED,,446,12.0,1.0,22.0,1.0,1.0,0.0,,,
7401057b,ITQ96_CENTERED,101.0,446,3.0,1.0,6.0,2.0,1.0,1.0,,,
7401057b,ITQ96_CENTERED,202.0,446,2.0,2.0,3.0,2.0,1.0,1.0,,,
7401057b,ITQ96_CENTERED,303.0,446,1.0,1.0,8.0,1.0,1.0,0.0,,,
7401057b,ITQ96_CENTERED,404.0,446,1.0,1.0,3.0,2.0,2.0,0.0,,,
7401057b,ITQ96_CENTERED,505.0,446,3.0,1.0,5.0,1.0,1.0,0.0,,,
7405e8b1,SIGN96_CENTERED,,469,20.0,1.0,22.0,2.0,2.0,0.0,,,
7405e8b1,ITQ96_CENTERED,101.0,469,3.0,1.0,4.0,2.0,2.0,0.0,,,
7405e8b1,ITQ96_CENTERED,202.0,469,6.0,2.0,7.0,3.0,1.0,1.0,,,
7405e8b1,ITQ96_CENTERED,303.0,469,8.0,2.0,9.0,2.0,1.0,1.0,,,
7405e8b1,ITQ96_CENTERED,404.0,469,9.0,1.0,10.0,2.0,2.0,0.0,,,
7405e8b1,ITQ96_CENTERED,505.0,469,5.0,1.0,7.0,1.0,1.0,0.0,,,
7527f7e2,SIGN96_CENTERED,,490,27.0,2.0,28.0,1.0,1.0,0.0,,,
7527f7e2,ITQ96_CENTERED,101.0,490,18.0,2.0,19.0,2.0,1.0,1.0,,,
7527f7e2,ITQ96_CENTERED,202.0,490,18.0,1.0,19.0,2.0,2.0,0.0,,,
7527f7e2,ITQ96_CENTERED,303.0,490,19.0,1.0,20.0,4.0,2.0,1.0,,,
7527f7e2,ITQ96_CENTERED,404.0,490,16.0,5.0,16.0,5.0,3.0,1.0,,,
7527f7e2,ITQ96_CENTERED,505.0,490,19.0,2.0,20.0,3.0,1.0,1.0,,,
75499fd8,SIGN96_CENTERED,,491,17.0,1.0,26.0,1.0,1.0,0.0,,,
75499fd8,ITQ96_CENTERED,101.0,491,6.0,1.0,14.0,2.0,1.0,1.0,,,
75499fd8,ITQ96_CENTERED,202.0,491,10.0,2.0,11.0,1.0,1.0,0.0,,,
75499fd8,ITQ96_CENTERED,303.0,491,12.0,1.0,14.0,2.0,2.0,0.0,,,
75499fd8,ITQ96_CENTERED,404.0,491,12.0,1.0,13.0,2.0,2.0,0.0,,,
75499fd8,ITQ96_CENTERED,505.0,491,14.0,2.0,15.0,1.0,1.0,0.0,,,
75832dbd,SIGN96_CENTERED,,474,31.0,3.0,31.0,3.0,3.0,0.0,,,
75832dbd,ITQ96_CENTERED,101.0,474,24.0,1.0,25.0,2.0,2.0,0.0,,,
75832dbd,ITQ96_CENTERED,202.0,474,22.0,1.0,23.0,4.0,2.0,1.0,,,
75832dbd,ITQ96_CENTERED,303.0,474,23.0,2.0,24.0,2.0,1.0,1.0,,,
75832dbd,ITQ96_CENTERED,404.0,474,24.0,1.0,25.0,4.0,2.0,1.0,,,
75832dbd,ITQ96_CENTERED,505.0,474,27.0,1.0,28.0,4.0,2.0,1.0,,,
75f70248,SIGN96_CENTERED,,466,28.0,1.0,30.0,1.0,1.0,0.0,,,
75f70248,ITQ96_CENTERED,101.0,466,18.0,4.0,18.0,4.0,3.0,1.0,,,
75f70248,ITQ96_CENTERED,202.0,466,15.0,1.0,17.0,1.0,1.0,0.0,,,
