question_id,method,itq_seed,N_archive,unique_document_codes,unique_document_code_fraction,duplicate_code_fraction,largest_collision_bucket,query_exact_code_match_count,query_exact_code_match_fraction
08e075c7,ITQ96_CENTERED,303.0,484,420.0,0.8677685950413223,0.1322314049586777,7,0.0,0.0
08e075c7,ITQ96_CENTERED,404.0,484,432.0,0.8925619834710744,0.1074380165289256,7,0.0,0.0
08e075c7,ITQ96_CENTERED,505.0,484,426.0,0.8801652892561983,0.1198347107438017,7,0.0,0.0
08f4fc43,SIGN96_CENTERED,,480,480.0,1.0,0.0,1,0.0,0.0
08f4fc43,ITQ96_CENTERED,101.0,480,427.0,0.8895833333333333,0.11041666666666672,4,0.0,0.0
08f4fc43,ITQ96_CENTERED,202.0,480,420.0,0.875,0.125,4,0.0,0.0
08f4fc43,ITQ96_CENTERED,303.0,480,418.0,0.8708333333333333,0.12916666666666665,4,0.0,0.0
08f4fc43,ITQ96_CENTERED,404.0,480,418.0,0.8708333333333333,0.12916666666666665,4,0.0,0.0
08f4fc43,ITQ96_CENTERED,505.0,480,425.0,0.8854166666666666,0.11458333333333337,4,0.0,0.0
0977f2af,SIGN96_CENTERED,,484,480.0,0.9917355371900827,0.008264462809917328,2,0.0,0.0
0977f2af,ITQ96_CENTERED,101.0,484,422.0,0.871900826446281,0.12809917355371903,12,0.0,0.0
0977f2af,ITQ96_CENTERED,202.0,484,424.0,0.8760330578512396,0.12396694214876036,9,0.0,0.0
0977f2af,ITQ96_CENTERED,303.0,484,425.0,0.878099173553719,0.12190082644628097,9,0.0,0.0
0977f2af,ITQ96_CENTERED,404.0,484,423.0,0.8739669421487604,0.12603305785123964,11,0.0,0.0
0977f2af,ITQ96_CENTERED,505.0,484,424.0,0.8760330578512396,0.12396694214876036,12,0.0,0.0
099778bb,SIGN96_CENTERED,,466,464.0,0.9957081545064378,0.0042918454935622075,2,0.0,0.0
099778bb,ITQ96_CENTERED,101.0,466,416.0,0.8927038626609443,0.10729613733905574,6,0.0,0.0
099778bb,ITQ96_CENTERED,202.0,466,413.0,0.8862660944206009,0.11373390557939911,5,0.0,0.0
099778bb,ITQ96_CENTERED,303.0,466,414.0,0.8884120171673819,0.11158798283261806,5,0.0,0.0
099778bb,ITQ96_CENTERED,404.0,466,416.0,0.8927038626609443,0.10729613733905574,5,0.0,0.0
099778bb,ITQ96_CENTERED,505.0,466,416.0,0.8927038626609443,0.10729613733905574,5,0.0,0.0
09ba9854,SIGN96_CENTERED,,479,479.0,1.0,0.0,1,0.0,0.0
09ba9854,ITQ96_CENTERED,101.0,479,433.0,0.9039665970772442,0.09603340292275575,4,0.0,0.0
09ba9854,ITQ96_CENTERED,202.0,479,441.0,0.9206680584551148,0.07933194154488521,4,0.0,0.0
09ba9854,ITQ96_CENTERED,303.0,479,442.0,0.9227557411273486,0.0772442588726514,4,0.0,0.0
09ba9854,ITQ96_CENTERED,404.0,479,441.0,0.9206680584551148,0.07933194154488521,6,0.0,0.0
09ba9854,ITQ96_CENTERED,505.0,479,437.0,0.9123173277661796,0.08768267223382042,4,0.0,0.0
09d032c9,SIGN96_CENTERED,,481,480.0,0.997920997920998,0.0020790020790020236,2,0.0,0.0
09d032c9,ITQ96_CENTERED,101.0,481,433.0,0.9002079002079002,0.0997920997920998,6,0.0,0.0
09d032c9,ITQ96_CENTERED,202.0,481,432.0,0.8981288981288982,0.10187110187110182,6,0.0,0.0
09d032c9,ITQ96_CENTERED,303.0,481,438.0,0.9106029106029107,0.08939708939708935,7,0.0,0.0
09d032c9,ITQ96_CENTERED,404.0,481,433.0,0.9002079002079002,0.0997920997920998,6,0.0,0.0
09d032c9,ITQ96_CENTERED,505.0,481,435.0,0.9043659043659044,0.09563409563409564,6,0.0,0.0
0a34ad58,SIGN96_CENTERED,,485,484.0,0.9979381443298969,0.0020618556701030855,2,0.0,0.0
0a34ad58,ITQ96_CENTERED,101.0,485,431.0,0.8886597938144329,0.11134020618556706,7,0.0,0.0
0a34ad58,ITQ96_CENTERED,202.0,485,441.0,0.9092783505154639,0.0907216494845361,7,0.0,0.0
0a34ad58,ITQ96_CENTERED,303.0,485,442.0,0.911340206185567,0.08865979381443301,7,0.0,0.0
0a34ad58,ITQ96_CENTERED,404.0,485,440.0,0.9072164948453608,0.09278350515463918,7,0.0,0.0
0a34ad58,ITQ96_CENTERED,505.0,485,449.0,0.9257731958762887,0.0742268041237113,5,0.0,0.0
0a995998,SIGN96_CENTERED,,484,483.0,0.9979338842975206,0.0020661157024793875,2,0.0,0.0
0a995998,ITQ96_CENTERED,101.0,484,451.0,0.9318181818181818,0.06818181818181823,7,0.0,0.0
