method,itq_seed,bit_index,positive_fraction,mean_occupancy,min_occupancy,max_occupancy,dead_constant_bit_count,mean_abs_deviation_from_0_5
SIGN96_CENTERED,,23,0.49802682141222593,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,24,0.49542326191894853,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,25,0.4937220970095766,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,26,0.4928931029420654,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,27,0.4976814072174296,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,28,0.4950260355949328,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,29,0.48695197879156843,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,30,0.48670587117777603,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,31,0.47557489875046416,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,32,0.4943222541730352,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,33,0.49398979301054374,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,34,0.4963127034705491,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,35,0.4946719860452665,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,36,0.49369619094496686,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,37,0.4962954327608093,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,38,0.493307599975821,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,39,0.49489650527188417,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,40,0.4951555659179814,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,41,0.4944604198509538,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,42,0.4960234190824072,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,43,0.4944949612704334,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,44,0.4967185651494348,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,45,0.495475074048168,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,46,0.49658903482638617,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,47,0.4988126387053876,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,48,0.4954016735317738,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,49,0.49568664024248077,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,50,0.499153735222749,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,51,0.49945597264319574,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,52,0.49856221341416024,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,53,0.4977116309594743,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,54,0.4977073132820393,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,55,0.49805272747683565,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,56,0.4975648299266858,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,57,0.49776344308869375,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,58,0.49686968385965824,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,59,0.4977289016692141,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,60,0.4985751664464651,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,61,0.49870469676951373,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,62,0.4981995285096241,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,63,0.49879968567308275,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,64,0.4972021450221497,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,65,0.4976036890236004,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,66,0.4982945174131931,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,67,0.49900693418996056,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,68,0.4985363073495505,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
SIGN96_CENTERED,,69,0.49815635173527456,0.4954398130157826,0.4493320553008126,0.4996114090308541,0,0.004560186984217451
