bench,archive,arm,scorer,n,hit10_pct,fr3_pct,hit3_pct,exp_hit10_pct,loss_init,loss_final,haar_init,haar_final
PerLTQA,Cai Xiuying,ITQ_42,sym,409,72.12713936430319,44.310645887663,49.38875305623472,72.21213179648387,37693.58534208646,36836.8474621861,0.8554281350328263,0.8359851003582539
PerLTQA,Cai Xiuying,ITQ_42,qscale,409,75.55012224938875,46.60069531599806,52.07823960880196,75.55012224938875,37693.58534208646,36836.8474621861,0.8554281350328263,0.8359851003582539
PerLTQA,Cai Xiuying,RAND_42,sym,409,74.81662591687042,44.733579379056145,51.1002444987775,74.573485465906,,,,
PerLTQA,Cai Xiuying,RAND_42,qscale,409,76.77261613691931,47.15451846042958,53.0562347188264,76.77261613691931,,,,
PerLTQA,Cao Lili,FULL,sym,302,85.43046357615894,60.68649336423002,73.50993377483444,85.19355093030589,,,,
PerLTQA,Cao Lili,FULL,qscale,302,87.74834437086093,62.516448829944515,75.82781456953643,87.74834437086093,,,,
PerLTQA,Cao Lili,ITQ_20260916,sym,302,84.76821192052981,49.80352312817252,64.23841059602648,84.37821927888152,30928.03057250703,30188.701825394935,0.8545543372156009,0.8341263766963676
PerLTQA,Cao Lili,ITQ_20260916,qscale,302,89.0728476821192,55.14531512291544,69.86754966887418,89.0728476821192,30928.03057250703,30188.701825394935,0.8545543372156009,0.8341263766963676
PerLTQA,Cao Lili,RAND_20260916,sym,302,83.77483443708608,51.66191202858519,66.22516556291392,84.3009565857248,,,,
PerLTQA,Cao Lili,RAND_20260916,qscale,302,87.41721854304636,55.676746991267834,70.52980132450331,87.41721854304636,,,,
PerLTQA,Cao Lili,ITQ_20260917,sym,302,85.09933774834437,52.82692770372941,67.21854304635761,85.17108167770421,30913.549761499988,30198.658979812273,0.8541542263898095,0.8344014970107282
PerLTQA,Cao Lili,ITQ_20260917,qscale,302,89.73509933774835,56.955172067900925,71.8543046357616,89.73509933774835,30913.549761499988,30198.658979812273,0.8541542263898095,0.8344014970107282
PerLTQA,Cao Lili,RAND_20260917,sym,302,88.41059602649007,52.81818966105097,66.22516556291392,88.28918322295806,,,,
PerLTQA,Cao Lili,RAND_20260917,qscale,302,90.39735099337747,57.32731726352686,71.52317880794702,90.39735099337747,,,,
PerLTQA,Cao Lili,ITQ_20260918,sym,302,86.42384105960265,53.324034533617706,67.88079470198676,86.51232321762123,30908.616516927883,30192.38427656017,0.854017918792216,0.8342281243523477
PerLTQA,Cao Lili,ITQ_20260918,qscale,302,87.41721854304636,55.916013930232864,70.52980132450331,87.41721854304636,30908.616516927883,30192.38427656017,0.854017918792216,0.8342281243523477
PerLTQA,Cao Lili,RAND_20260918,sym,302,84.76821192052981,55.545885395174444,69.86754966887418,84.54194260485653,,,,
PerLTQA,Cao Lili,RAND_20260918,qscale,302,88.74172185430463,58.90685435630898,73.50993377483444,88.74172185430463,,,,
PerLTQA,Cao Lili,ITQ_7,sym,302,86.42384105960265,53.31053028584193,67.21854304635761,86.16596427854707,30928.597150729198,30185.16710647176,0.8545699920073275,0.8340287109436273
PerLTQA,Cao Lili,ITQ_7,qscale,302,88.74172185430463,55.556787658949716,70.52980132450331,88.74172185430463,30928.597150729198,30185.16710647176,0.8545699920073275,0.8340287109436273
PerLTQA,Cao Lili,RAND_7,sym,302,87.08609271523179,49.96652270488461,65.23178807947019,86.76048565121413,,,,
PerLTQA,Cao Lili,RAND_7,qscale,302,89.0728476821192,57.24708614438844,71.19205298013244,89.0728476821192,,,,
PerLTQA,Cao Lili,ITQ_42,sym,302,87.74834437086093,53.934406366476885,70.19867549668875,88.23123620309052,30906.33110541905,30178.52687580089,0.853954771922498,0.8338452386107673
PerLTQA,Cao Lili,ITQ_42,qscale,302,89.0728476821192,54.176563032474604,68.87417218543047,89.0728476821192,30906.33110541905,30178.52687580089,0.853954771922498,0.8338452386107673
PerLTQA,Cao Lili,RAND_42,sym,302,87.41721854304636,60.32722528413023,74.17218543046357,87.70971302428255,,,,
PerLTQA,Cao Lili,RAND_42,qscale,302,88.74172185430463,56.51909311093183,71.19205298013244,88.74172185430463,,,,
PerLTQA,Feng Wei,FULL,sym,324,69.75308641975309,43.859123236022384,53.70370370370371,70.91176570343237,,,,
PerLTQA,Feng Wei,FULL,qscale,324,75.30864197530865,48.1832673486082,56.79012345679012,75.30864197530865,,,,
