conv_id,seed,orthogonality_max_abs_error,document_norm_max_abs_diff,query_norm_max_abs_diff,document_query_dot_max_abs_diff,cosine_score_max_abs_diff,continuous_top3_tie_sets_equivalent,status
locomo_2,43004,1.1102230246251565e-15,5.551115123125783e-16,3.3306690738754696e-16,9.992007221626409e-16,1.1102230246251565e-15,1,PASS
locomo_2,43005,1.1102230246251565e-15,5.551115123125783e-16,5.551115123125783e-16,8.881784197001252e-16,1.2212453270876722e-15,1,PASS
locomo_3,43001,1.1102230246251565e-15,5.551115123125783e-16,3.3306690738754696e-16,9.992007221626409e-16,1.2212453270876722e-15,1,PASS
locomo_3,43002,1.2212453270876722e-15,4.440892098500626e-16,4.440892098500626e-16,1.2212453270876722e-15,1.4432899320127035e-15,1,PASS
locomo_3,43003,1.1102230246251565e-15,4.440892098500626e-16,5.551115123125783e-16,1.1102230246251565e-15,1.2212453270876722e-15,1,PASS
locomo_3,43004,1.1102230246251565e-15,4.440892098500626e-16,5.551115123125783e-16,1.1102230246251565e-15,1.2212453270876722e-15,1,PASS
locomo_3,43005,1.1102230246251565e-15,4.440892098500626e-16,4.440892098500626e-16,1.2212453270876722e-15,1.4432899320127035e-15,1,PASS
locomo_4,43001,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,1.2212453270876722e-15,1.4432899320127035e-15,1,PASS
locomo_4,43002,1.2212453270876722e-15,4.440892098500626e-16,3.3306690738754696e-16,1.3322676295501878e-15,1.2212453270876722e-15,1,PASS
locomo_4,43003,1.1102230246251565e-15,5.551115123125783e-16,4.440892098500626e-16,1.1102230246251565e-15,1.1102230246251565e-15,1,PASS
locomo_4,43004,1.1102230246251565e-15,4.440892098500626e-16,4.440892098500626e-16,9.992007221626409e-16,1.3322676295501878e-15,1,PASS
locomo_4,43005,1.1102230246251565e-15,5.551115123125783e-16,4.440892098500626e-16,1.1102230246251565e-15,1.5543122344752192e-15,1,PASS
locomo_5,43001,1.1102230246251565e-15,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,9.992007221626409e-16,1,PASS
locomo_5,43002,1.2212453270876722e-15,4.440892098500626e-16,5.551115123125783e-16,7.771561172376096e-16,9.992007221626409e-16,1,PASS
locomo_5,43003,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,7.771561172376096e-16,9.992007221626409e-16,1,PASS
locomo_5,43004,1.1102230246251565e-15,4.440892098500626e-16,5.551115123125783e-16,7.771561172376096e-16,9.992007221626409e-16,1,PASS
locomo_5,43005,1.1102230246251565e-15,5.551115123125783e-16,4.440892098500626e-16,7.771561172376096e-16,1.2212453270876722e-15,1,PASS
locomo_6,43001,1.1102230246251565e-15,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-15,1.4432899320127035e-15,1,PASS
locomo_6,43002,1.2212453270876722e-15,5.551115123125783e-16,4.440892098500626e-16,1.1102230246251565e-15,1.3322676295501878e-15,1,PASS
locomo_6,43003,1.1102230246251565e-15,5.551115123125783e-16,4.440892098500626e-16,1.3322676295501878e-15,1.5543122344752192e-15,1,PASS
locomo_6,43004,1.1102230246251565e-15,5.551115123125783e-16,4.440892098500626e-16,1.2212453270876722e-15,1.1102230246251565e-15,1,PASS
locomo_6,43005,1.1102230246251565e-15,5.551115123125783e-16,4.440892098500626e-16,9.992007221626409e-16,1.2212453270876722e-15,1,PASS
locomo_7,43001,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,9.992007221626409e-16,1.3322676295501878e-15,1,PASS
locomo_7,43002,1.2212453270876722e-15,5.551115123125783e-16,5.551115123125783e-16,1.1102230246251565e-15,1.3322676295501878e-15,1,PASS
locomo_7,43003,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,1.2212453270876722e-15,1.5543122344752192e-15,1,PASS
locomo_7,43004,1.1102230246251565e-15,5.551115123125783e-16,4.440892098500626e-16,1.1102230246251565e-15,1.4432899320127035e-15,1,PASS
locomo_7,43005,1.1102230246251565e-15,5.551115123125783e-16,5.551115123125783e-16,1.3322676295501878e-15,1.3322676295501878e-15,1,PASS
locomo_8,43001,1.1102230246251565e-15,4.440892098500626e-16,4.440892098500626e-16,1.2212453270876722e-15,1.3322676295501878e-15,1,PASS
