conv_id,question_id,method,seed,spearman_hamming_distance_vs_native,mean_top3_overlap_vs_native
locomo_0,locomo_0_qa10,ITQ96_CENTERED,202.0,0.3253571205796612,0.0
locomo_0,locomo_0_qa10,ITQ96_CENTERED,303.0,0.34810730388806854,0.2333333333333333
locomo_0,locomo_0_qa10,ITQ96_CENTERED,404.0,0.3129293647263296,0.33333333333333326
locomo_0,locomo_0_qa10,ITQ96_CENTERED,505.0,0.34002791083520856,0.0
locomo_0,locomo_0_qa11,NATIVE_SIGN96,,1.0,1.0
locomo_0,locomo_0_qa11,HAAR96_SIGN,43001.0,0.15934547956653983,0.06666666666666667
locomo_0,locomo_0_qa11,HAAR96_SIGN,43002.0,0.17202288787523465,0.0
locomo_0,locomo_0_qa11,HAAR96_SIGN,43003.0,0.1885209449479512,0.0
locomo_0,locomo_0_qa11,HAAR96_SIGN,43004.0,0.19217490781138208,0.2666666666666666
locomo_0,locomo_0_qa11,HAAR96_SIGN,43005.0,0.13119165333964788,0.21666666666666665
locomo_0,locomo_0_qa11,ITQ96_CENTERED,101.0,0.24493235021231635,0.6666666666666665
locomo_0,locomo_0_qa11,ITQ96_CENTERED,202.0,0.1577366761768355,0.24999999999999994
locomo_0,locomo_0_qa11,ITQ96_CENTERED,303.0,0.2091986366366393,0.7666666666666665
locomo_0,locomo_0_qa11,ITQ96_CENTERED,404.0,0.1927353989889042,0.09999999999999999
locomo_0,locomo_0_qa11,ITQ96_CENTERED,505.0,0.20496168510338927,0.33333333333333326
locomo_0,locomo_0_qa12,NATIVE_SIGN96,,1.0,1.0
locomo_0,locomo_0_qa12,HAAR96_SIGN,43001.0,0.24860545987138596,0.0
locomo_0,locomo_0_qa12,HAAR96_SIGN,43002.0,0.2170364805783236,0.33333333333333326
locomo_0,locomo_0_qa12,HAAR96_SIGN,43003.0,0.2917132454034194,0.15
locomo_0,locomo_0_qa12,HAAR96_SIGN,43004.0,0.24684404087378647,0.33333333333333326
locomo_0,locomo_0_qa12,HAAR96_SIGN,43005.0,0.26835263119417263,0.0
locomo_0,locomo_0_qa12,ITQ96_CENTERED,101.0,0.2752499310943772,0.33333333333333326
locomo_0,locomo_0_qa12,ITQ96_CENTERED,202.0,0.2558514975243935,0.0
locomo_0,locomo_0_qa12,ITQ96_CENTERED,303.0,0.23660166164572602,0.33333333333333326
locomo_0,locomo_0_qa12,ITQ96_CENTERED,404.0,0.28831807867595854,0.33333333333333326
locomo_0,locomo_0_qa12,ITQ96_CENTERED,505.0,0.3083253471553007,0.33333333333333326
locomo_0,locomo_0_qa13,NATIVE_SIGN96,,1.0,1.0
locomo_0,locomo_0_qa13,HAAR96_SIGN,43001.0,0.15713254283317657,0.33333333333333326
locomo_0,locomo_0_qa13,HAAR96_SIGN,43002.0,0.2316183191563913,0.33333333333333326
locomo_0,locomo_0_qa13,HAAR96_SIGN,43003.0,0.2668334225858012,0.0
locomo_0,locomo_0_qa13,HAAR96_SIGN,43004.0,0.21028613784699618,0.0
locomo_0,locomo_0_qa13,HAAR96_SIGN,43005.0,0.12976658840063005,0.33333333333333326
locomo_0,locomo_0_qa13,ITQ96_CENTERED,101.0,0.1620034266344258,0.33333333333333326
locomo_0,locomo_0_qa13,ITQ96_CENTERED,202.0,0.2537387855452819,0.0
locomo_0,locomo_0_qa13,ITQ96_CENTERED,303.0,0.2746059292338062,0.0
locomo_0,locomo_0_qa13,ITQ96_CENTERED,404.0,0.15251123538246153,0.33333333333333326
locomo_0,locomo_0_qa13,ITQ96_CENTERED,505.0,0.15306769168479337,0.0
locomo_0,locomo_0_qa14,NATIVE_SIGN96,,1.0,1.0
locomo_0,locomo_0_qa14,HAAR96_SIGN,43001.0,0.2585944086214725,0.33333333333333326
locomo_0,locomo_0_qa14,HAAR96_SIGN,43002.0,0.12651288897558136,0.5499999999999999
locomo_0,locomo_0_qa14,HAAR96_SIGN,43003.0,0.15391416945047331,0.33333333333333326
locomo_0,locomo_0_qa14,HAAR96_SIGN,43004.0,0.18204356233211808,0.33333333333333326
locomo_0,locomo_0_qa14,HAAR96_SIGN,43005.0,0.20956322546956638,0.33333333333333326
locomo_0,locomo_0_qa14,ITQ96_CENTERED,101.0,0.20886798360291442,0.33333333333333326
locomo_0,locomo_0_qa14,ITQ96_CENTERED,202.0,0.21994416984565918,0.33333333333333326
locomo_0,locomo_0_qa14,ITQ96_CENTERED,303.0,0.19424273808020665,0.6666666666666665
locomo_0,locomo_0_qa14,ITQ96_CENTERED,404.0,0.22779735014564045,0.33333333333333326
locomo_0,locomo_0_qa14,ITQ96_CENTERED,505.0,0.16097573267183735,0.33333333333333326
locomo_0,locomo_0_qa15,NATIVE_SIGN96,,1.0,1.0
locomo_0,locomo_0_qa15,HAAR96_SIGN,43001.0,0.2651417844704599,0.6666666666666665
locomo_0,locomo_0_qa15,HAAR96_SIGN,43002.0,0.30311635990263736,0.33333333333333326
locomo_0,locomo_0_qa15,HAAR96_SIGN,43003.0,0.24827187549972,0.33333333333333326
locomo_0,locomo_0_qa15,HAAR96_SIGN,43004.0,0.326864259113183,0.33333333333333326
locomo_0,locomo_0_qa15,HAAR96_SIGN,43005.0,0.2760069895445981,0.4833333333333333
locomo_0,locomo_0_qa15,ITQ96_CENTERED,101.0,0.30565320310205535,0.6666666666666665
locomo_0,locomo_0_qa15,ITQ96_CENTERED,202.0,0.35398754688300654,0.33333333333333326
locomo_0,locomo_0_qa15,ITQ96_CENTERED,303.0,0.31644699949097427,0.6666666666666665
locomo_0,locomo_0_qa15,ITQ96_CENTERED,404.0,0.2537170374740798,0.6666666666666665
locomo_0,locomo_0_qa15,ITQ96_CENTERED,505.0,0.3028906344796025,0.6666666666666665
locomo_0,locomo_0_qa16,NATIVE_SIGN96,,1.0,1.0
locomo_0,locomo_0_qa16,HAAR96_SIGN,43001.0,0.23031950876818633,0.4833333333333333
locomo_0,locomo_0_qa16,HAAR96_SIGN,43002.0,0.2303764831896822,0.33333333333333326
locomo_0,locomo_0_qa16,HAAR96_SIGN,43003.0,0.22602640220413436,0.41666666666666663
locomo_0,locomo_0_qa16,HAAR96_SIGN,43004.0,0.3045291582017339,0.15
locomo_0,locomo_0_qa16,HAAR96_SIGN,43005.0,0.23444241185938902,0.15
locomo_0,locomo_0_qa16,ITQ96_CENTERED,101.0,0.2675916828732511,0.3499999999999999
locomo_0,locomo_0_qa16,ITQ96_CENTERED,202.0,0.2123374968003718,0.4833333333333333
locomo_0,locomo_0_qa16,ITQ96_CENTERED,303.0,0.23054470987098288,0.15
locomo_0,locomo_0_qa16,ITQ96_CENTERED,404.0,0.21236248490910564,0.15
locomo_0,locomo_0_qa16,ITQ96_CENTERED,505.0,0.22244990805959583,0.4833333333333333
locomo_0,locomo_0_qa17,NATIVE_SIGN96,,1.0,1.0
locomo_0,locomo_0_qa17,HAAR96_SIGN,43001.0,0.33532295054296707,0.33333333333333326
locomo_0,locomo_0_qa17,HAAR96_SIGN,43002.0,0.336031553650974,0.33333333333333326
locomo_0,locomo_0_qa17,HAAR96_SIGN,43003.0,0.30178183100114797,0.33333333333333326
locomo_0,locomo_0_qa17,HAAR96_SIGN,43004.0,0.2610248977179275,0.33333333333333326
locomo_0,locomo_0_qa17,HAAR96_SIGN,43005.0,0.3083648243824984,0.33333333333333326
locomo_0,locomo_0_qa17,ITQ96_CENTERED,101.0,0.3178177313489641,0.33333333333333326
locomo_0,locomo_0_qa17,ITQ96_CENTERED,202.0,0.29608394447706127,0.33333333333333326
locomo_0,locomo_0_qa17,ITQ96_CENTERED,303.0,0.30800562023309697,0.33333333333333326
locomo_0,locomo_0_qa17,ITQ96_CENTERED,404.0,0.3492425642022446,0.33333333333333326
locomo_0,locomo_0_qa17,ITQ96_CENTERED,505.0,0.28270063483513785,0.6666666666666665
