replicate,n_questions,A_full,A_block,A_I,B_full,B_block,B_I,den_full_min,den_full_max,den_block_min,den_block_max,den_full_mean,den_block_mean
11,1574,0.64100826654849619,0.15058671095526394,0.49042155559323225,0.64377963531708793,0.28786725980756994,0.35591237550951799,0.10617005506141466,0.13120479160822238,0.0053318811641556163,0.040955030966989991,0.11771395714040314,0.017282601372169751
12,1526,0.74062610976662735,1.3297658739485319,-0.5891397641819045,0.73923327872415456,0.82948915632889708,-0.090255877604742518,0.079938502228803637,0.10205410215239832,-0.011249404265459367,0.015017342494406699,0.090939542209930765,0.0051979241676916978
13,1395,0.80425394785688442,4.7594884421818957,-3.9552344943250111,0.79977432520891178,0.14841211381429523,0.65136221139461659,0.061249615975422417,0.087664533196791267,-0.034490015360983173,0.009441713603003915,0.079290373783922147,-0.0081099163679809079
14,1555,0.73312192475802829,1.2153807610114693,-0.48225883625344101,0.73107748476409429,-2.9049223422045061,3.6359998269686002,0.081589215536160914,0.10008523452253357,-0.016036900934007031,0.015063262389628962,0.093935155412647409,-0.0003601592405450854
15,1606,0.72958636655960685,0.6752843902271064,0.054301976332500446,0.73114164292820627,1.6244889152854325,-0.89334727235722622,0.090589456205894536,0.11653884592442204,-0.0074725841882094524,0.013092562792126894,0.10276424224569551,0.0035637055575386293
16,1536,0.88117406382834762,-0.22697257106032151,1.108146634888669,0.87549462855119708,-0.1000343904626133,0.97552901901381039,0.057966788889640464,0.0794485498587061,-0.029015017642947338,0.0056820413021585192,0.072225188946535318,-0.011566912268171808
17,1686,0.74654805595977358,0.91479502736961782,-0.16824697140984424,0.74462498628865337,1.011608868646078,-0.26698388235742465,0.090308186936300855,0.10702947968072526,-0.0095580808080807655,0.018264596305469255,0.098135275649874149,0.004626381909220198
18,1604,0.86809427328329924,-0.099164661485600811,0.96725893476890001,0.86258553504057511,-0.021267856778180785,0.88385339181875588,0.073185587618255929,0.093324897082690081,-0.023464676602145462,0.010870987214503414,0.085202340131813312,-0.010781773245457812
19,1544,0.66875043818454638,-0.77750750420760706,1.4462579423921533,0.66768075761972023,0.58128913747353461,0.086391620146185621,0.09965853716663306,0.1169096874501096,-0.0076617990454232177,0.01657973404858884,0.1068952996132323,0.0060169759399781057
20,1620,0.73342282741467413,1.22727232643892,-0.49384949902424591,0.73282550043377381,0.86323700215061805,-0.13041150171684424,0.082501496445940903,0.10923130778686335,-0.012216443535887911,0.025144226658115609,0.09335532244736755,0.0063421348582554547
21,1689,0.71700125077881105,3.070329514411672,-2.3533282636328607,0.7156141055424623,2.0119227349124769,-1.2963086293700146,0.085480043606153744,0.10719694193051207,-0.012920860469706003,0.017840391139680611,0.095004461642561114,0.0019234824776565101
22,1690,0.74604158507761686,-0.094850656905382386,0.84089224198299928,0.74666375123411022,3.9927724974832239,-3.2461087462491136,0.097676904292288924,0.1134231634312606,-0.011042788500695178,0.019008521393136746,0.10629796617806264,0.00068136595880105013
23,1493,0.65338507287352099,-0.21894335370189819,0.8723284265754192,0.65239619757452882,-0.041674447726088394,0.69407064530061724,0.10036950212100915,0.1184036615315919,0.005525946480400612,0.022208321372755441,0.10890016904283484,0.013193785283704915
24,1408,0.84301071271916272,0.63635088669067486,0.20665982602848787,0.84062547059131099,0.075634871162588518,0.7649905994287225,0.0626318455455529,0.087225199738986459,-0.027485457251082313,0.0017800186319362477,0.077029121674088263,-0.013929639208676643
25,1653,0.80770030814498717,0.49503531941891588,0.31266498872607129,0.80652741788539239,4.238824417981486,-3.4322970000960935,0.084711779448621516,0.1088679771529136,-0.0077622216460692395,0.014603220433528935,0.09567693139917155,0.00093664269518187464
26,1359,0.64361256943401834,0.14712491112692311,0.49648765830709524,0.64062881053993792,0.23120124691594027,0.40942756362399768,0.093850520340586552,0.10727272329093518,-0.0086516696450471553,0.023403500473036881,0.10149159483513788,0.0084359648200707602
27,1568,0.75536413485818188,0.60375355832835997,0.15161057652982191,0.75410407017622028,-0.72472883961666423,1.4788329097928845,0.07964253044291314,0.098951212925646501,-0.017018372148642935,0.015357672019024077,0.091459299673816941,-0.0038801725620186273
28,1536,0.66795944976833888,-1.2633682416995109,1.9313276914678497,0.6655113822868518,0.20438957272757613,0.46112180955927567,0.098426339285714301,0.11349221850198414,-0.0038594370039682357,0.026805943080357192,0.10562678648933532,0.0078467726934523894
29,1271,0.64105987791615082,0.49019028237974105,0.15086959553640977,0.64302612125723857,-0.014847409413811699,0.65787353067105026,0.077063616949533509,0.10124030572102952,-0.010548312165149343,0.024645198756135023,0.090829783447604021,0.011024062418043473
30,1630,0.76769938809783234,0.0035414836050180697,0.76415790449281429,0.76691325087132256,-0.7917075638165717,1.5586208146878944,0.080113182659194981,0.099631972662647519,-0.015912311104028853,0.01281704423728966,0.09200655330585579,-0.0029808668455199943
31,1378,0.76244438295357031,2.0078935485442484,-1.2454491655906781,0.76155313323221774,1.1334356551206972,-0.37188252188847948,0.079606918238993712,0.10751406364241517,-0.012097315909162409,0.016888609910252511,0.094682653926286747,0.0048768265172333706
32,1617,0.75604667864242636,0.074726731414344549,0.68131994722808176,0.75343636672241099,-0.79300250161620878,1.5464388683386199,0.089177832749261332,0.10201141639917152,-0.010285508142651001,0.010878144908757131,0.09562872161851757,-0.0017461789910769494
33,1431,0.60355690750089674,1.2671736058299752,-0.66361669832907844,0.60459772174774862,0.059093844849732659,0.54550387689801594,0.10810771688130183,0.12551096469335468,-0.0009505507304248817,0.050557219393697478,0.11466395045090019,0.019539957072976004
34,1673,0.76879465205220987,1.5147387044277358,-0.74594405237552597,0.76786180086505895,1.2438444406090459,-0.47598263974398691,0.082965255837341961,0.11202762403300362,-0.0095866227814823124,0.022916104948382282,0.094695674702384824,0.0067752356973699692
35,1545,0.71751450097935798,1.5802320387309947,-0.86271753775163673,0.71657444113912394,0.39765062963106601,0.31892381150805793,0.089574459341449614,0.10835002825294085,-0.0061078748651564874,0.015458442492423063,0.098676899368161486,0.0053599861303744419
36,1676,0.6884371722275151,-0.49201116629964964,1.1804483385271647,0.6876940278280409,0.76679528323464441,-0.07910125540660351,0.096563437391301354,0.1125218217756474,-0.0086778401851885512,0.021167143902473123,0.10566881377598143,0.004775718203143803
37,1487,0.77401923517546523,23.523196111373796,-22.74917687619833,0.77089499227454306,0.01567314435395651,0.75522184792058655,0.071998137295716358,0.091665012115583755,-0.018850513978287992,0.013596193465056972,0.084390243219009203,-0.004368559259615057
