axis,mean_var_rank,alone_FR_mean,drop_FR_mean,drop_loss_mean,delta_gold_mean,gold_agree_mean,agree_pool_mean,alone_fr_norm
66,65.978723,0.0077251773,0.5389893617,0.0029858156,0.1824789729,0.6824113475,246.6447,0.635125
67,67.068085,0.0074060284,0.5390815603,0.0028936170,0.1887514618,0.6878368794,246.2830,0.607993
68,67.848936,0.0089131206,0.5359716312,0.0060035461,0.1884170606,0.6870921986,246.0766,0.731103
69,69.025532,0.0088776596,0.5379166667,0.0040585106,0.1892657423,0.6872695035,245.7745,0.727301
70,69.782979,0.0081294326,0.5419397163,0.0000354610,0.1936203574,0.6929432624,246.3809,0.667646
71,71.059574,0.0088634752,0.5378936170,0.0040815603,0.2070762064,0.7057092199,246.0745,0.727025
72,71.819149,0.0075886525,0.5352836879,0.0066914894,0.1408029944,0.6393617021,245.9085,0.622038
73,72.863830,0.0074485816,0.5405921986,0.0013829787,0.1846845271,0.6852482270,247.0149,0.613304
74,74.019149,0.0085496454,0.5425691489,-0.0005939716,0.1716338323,0.6715248227,246.6277,0.702860
75,75.089362,0.0066826241,0.5382517730,0.0037234043,0.1606106067,0.6606028369,246.6766,0.549482
76,75.944681,0.0077375887,0.5425709220,-0.0005957447,0.1525688302,0.6521631206,246.4638,0.635679
77,76.976596,0.0078102837,0.5380921986,0.0038829787,0.1529565370,0.6530496454,246.7000,0.642266
78,77.840426,0.0076099291,0.5383049645,0.0036702128,0.1623394950,0.6625177305,246.7745,0.625979
79,79.076596,0.0079468085,0.5432570922,-0.0012819149,0.1546122222,0.6539361702,246.3426,0.652546
80,79.921277,0.0082659574,0.5408971631,0.0010780142,0.1553474242,0.6560992908,247.0340,0.680658
81,80.978723,0.0075567376,0.5381152482,0.0038599291,0.1614028307,0.6603191489,246.1000,0.619904
82,81.872340,0.0081241135,0.5387978723,0.0031773050,0.1645819363,0.6631560284,245.9553,0.666056
83,82.927660,0.0077553191,0.5339078014,0.0080673759,0.1808769489,0.6812056738,246.8447,0.638120
84,83.861702,0.0079361702,0.5372836879,0.0046914894,0.1692601520,0.6674468085,245.7723,0.650164
85,85.004255,0.0072890071,0.5423829787,-0.0004078014,0.1491886818,0.6482978723,246.1872,0.598153
86,85.982979,0.0074397163,0.5447553191,-0.0027801418,0.1243940572,0.6247163121,246.7511,0.611919
87,86.948936,0.0078546099,0.5458528369,-0.0038776596,0.1795028601,0.6785460993,246.1787,0.644546
88,88.106383,0.0080496454,0.5355425532,0.0064326241,0.1910758621,0.6904609929,246.3766,0.661081
89,88.889362,0.0067127660,0.5384574468,0.0035177305,0.1144124548,0.6127304965,245.7213,0.549823
90,89.917021,0.0073368794,0.5414645390,0.0005106383,0.1460622044,0.6459219858,246.5511,0.602972
91,90.982979,0.0075230496,0.5421666667,-0.0001914894,0.1761278261,0.6758510638,246.5319,0.618224
92,91.972340,0.0074751773,0.5356631206,0.0063120567,0.1526191987,0.6527659574,246.7468,0.614825
93,92.891489,0.0067287234,0.5397482270,0.0022269504,0.1171325948,0.6178723404,247.0043,0.554008
94,93.774468,0.0070248227,0.5305372340,0.0114379433,0.1352278703,0.6341134752,246.0511,0.576155
95,94.538298,0.0074627660,0.5357482270,0.0062269504,0.1656539364,0.6644326241,246.0894,0.612169
