distribution,n,data_seed,initialization_seed,iterations,converged,stop_reason,cap_hit,initial_objective_mean,final_objective_mean,initial_objective_sum,final_objective_sum,relative_training_objective_reduction,orthogonality_frobenius_error,monotonicity_violations,positive_half_step_increases_within_tolerance,largest_positive_half_step_increase,exact_zero_projection_entries_over_observed_steps,elapsed_seconds,data_sha256,initial_rotation_sha256,final_rotation_sha256,final_binary_codes_sha256
heterogeneous,100,5212100,7312001,15,True,relative_objective_stable_5,False,0.41098020554311093,0.17116362345605374,3945.4099732138648,1643.170785178116,0.5835234370232971,2.51149509528285e-14,0,0,0.0,0,0.03838659997563809,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,29d7236dfa0c7782784c0713c0010d5960193f97d12cb4e6272a316c5a840880,7628d0d78c80698607863200612a82d09d7263ad83d49455399de008bbf55c52,070c5e767b8bb3f8ac5c39e3ddcfa3c7c9d9a6e1100fb0fef582e761d3b19e81
heterogeneous,100,5212100,7312002,14,True,relative_objective_stable_5,False,0.40462238924469146,0.1749038153846994,3884.374936749038,1679.0766276931142,0.5677356962100087,2.570443504255308e-14,0,0,0.0,0,0.03186360001564026,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,09c16380acd86ba0f5983001666952c1fe8cc07a623513c77b920059db08d699,1ce0c21a0172fb1362a61d90e3dd53017f6d453afe5ea06c3121c3ee0d30d320,ce21ea428a5697960e6d5088ae436d49f2dc08f9c14c63c25bc865e92a9ce0af
heterogeneous,100,5212100,7312003,13,True,relative_objective_stable_5,False,0.40864977561972377,0.1710553411128332,3923.037845949348,1642.1312746831986,0.5814133487448389,2.5931122527595468e-14,0,0,0.0,0,0.032071399968117476,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,87a5f1d6c00a09a058c0d77476edcc7307fa38209378932833f628623c5e6694,4ad17153042d65cf16621390acfe6bdaf76488e81390ecd149192adad6e9d67b,9be2fe8721b9f3eb3b39d5c649a347c7b5865fb21b54e72cf46259a62c84da75
heterogeneous,100,5212100,7312004,11,True,relative_objective_stable_5,False,0.4072439580616383,0.1728752676989147,3909.541997391728,1659.6025699095812,0.5754994904731056,2.6813266842049536e-14,0,0,0.0,0,0.02185799996368587,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,c02b50b360df6e448a4d0cfaa3a8025c5530cf04f1299e5c0f6d42ecc7845d09,0783771ddf7f02ddbd71e70b74d2c1df6dc46cfab92a6cbdea5ab2b4ecad408a,ec360033acfb32b8bc051dcf4f4657ddb35be8be67de8d79cd5ce65c8acb9976
heterogeneous,100,5212100,7312005,15,True,relative_objective_stable_5,False,0.40556723505058356,0.16819050297698412,3893.4454564856023,1614.6288285790476,0.585295634258998,2.502466878451244e-14,0,0,0.0,0,0.033394900034181774,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,6f239c7798ac2175ffea3d35a05164a1e8a997b58af62e007ee07e5ef9483fe5,eea24f8e740f1b051da96d51728819eb08474283f48126bfd0f61e0dfd8cb9c4,fe4084fe2b0c6827bc4958202839cd15f2520d44a998ca384d3fb7baffa112bb
heterogeneous,100,5212100,7312006,12,True,relative_objective_stable_5,False,0.40280722288220727,0.16644534355410198,3866.9493396691896,1597.875298119379,0.5867865964191622,2.4530208187535327e-14,0,0,0.0,0,0.0326158000389114,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,dd16d4749df3a595fab6783363274f825c98a4a46db8d30cfb8d51e20f32fc61,4e8a565171b80ddf515308efefe6bc3c90a50062a3171a1799d5553166933bb4,b2b30ee87c11b24c5f8f434a2be4f5db898c38735d77cd0e2d36ee5aecb3cdfe
heterogeneous,100,5212100,7312007,12,True,relative_objective_stable_5,False,0.41195841127210986,0.16870816417873385,3954.800748212255,1619.598376115845,0.59047282550253,2.5377661901842993e-14,0,0,0.0,0,0.03159040003083646,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,fb6648a9b1aff69dc7787f7620959882aa42044aab171e5a030cf863501c7fac,2dc4cea970a44dab1f08bb5f02626beeef2d873689f949c8fd52299ce8868f82,0afbce92fad15ac64cdc76aeb486fc333b5473e613a85cddd61cb7d7dea28626
heterogeneous,100,5212100,7312008,9,True,relative_objective_stable_5,False,0.40038594320766857,0.17255787935413172,3843.7050547936183,1656.5556417996645,0.5690211350286317,2.5454858532974204e-14,0,0,0.0,0,0.027097599930129945,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,ab9752160b0ea100d782e061c518e1853cea6bf2019ba0c47704cba1002f6ddf,c4727bc5d74117198b9b4c088b902f3b0f0fd5bb1929129919794556a79eab44,ed6d8b51a5de46bfbf3c63b91d0dcb15987142dc577deb28e000f62cb8dfea3a
heterogeneous,100,5212100,7312009,10,True,relative_objective_stable_5,False,0.4107982953919214,0.16994602858533395,3943.6636357624457,1631.481874419206,0.5863029849644404,2.4086360136662235e-14,0,0,0.0,0,0.028436099993996322,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,03147f63aa4bf97b1f8b3ce584aa208fa04a24579e8d8e1a1de39df57b410e6d,5d568c03e6270c04652ad3ed7aca9b38d4c51d9767a694f36340e8619aa27a7b,b623d45b6df187c466e28ea70b71573176e10837dd1a0445524a0261c935b62f
heterogeneous,100,5212100,7312010,13,True,relative_objective_stable_5,False,0.39817339204619806,0.17205524475509487,3822.4645636435016,1651.7303496489108,0.5678886430082396,2.5753654824862e-14,0,0,0.0,0,0.05037999991327524,bcee7bf8b246bbdcdbb7433f89e211c9518c315f42ebe7283a2b53b4afbfb1b1,14f35ce06927678a59dd59d26a9724389a485cc3dffc963bcac4046bae766a34,4bc0f955eae6ae3b663b9b45ec429f399765edf2b357818b24a0ea263cf2a1a7,738144e09146fefdbd796d2ede91349d5da60f23519ef1a31c296cf1a2ade6b7
