axis,mean_var_rank,alone_FR_mean,drop_FR_mean,drop_loss_mean,delta_gold_mean,gold_agree_mean
29,28.076596,0.0093386525,0.5390070922,0.0029680851,0.1888323101,0.6915957447
30,29.202128,0.0083900709,0.5366418440,0.0053333333,0.1828658558,0.6878014184
31,30.338298,0.0077127660,0.5398368794,0.0021382979,0.1845713136,0.6929787234
32,32.110638,0.0079751773,0.5425531915,-0.0005780142,0.1961571526,0.6941489362
33,33.112766,0.0092021277,0.5395248227,0.0024503546,0.2022863945,0.7027304965
34,34.170213,0.0074414894,0.5393404255,0.0026347518,0.1872988574,0.6874113475
35,35.051064,0.0087553191,0.5417553191,0.0002198582,0.1996400380,0.7008156028
36,36.014894,0.0078758865,0.5381205674,0.0038546099,0.2103544321,0.7118794326
37,37.034043,0.0081329787,0.5435000000,-0.0015248227,0.1859936597,0.6874468085
38,37.980851,0.0076595745,0.5441702128,-0.0021950355,0.1932202268,0.6926595745
39,39.004255,0.0068705674,0.5493191489,-0.0073439716,0.2011959308,0.7020212766
40,40.195745,0.0081861702,0.5389432624,0.0030319149,0.1841278441,0.6845390071
41,41.044681,0.0082943262,0.5427996454,-0.0008244681,0.2197560466,0.7209929078
42,42.059574,0.0084184397,0.5394609929,0.0025141844,0.2125081402,0.7128014184
43,43.061702,0.0074716312,0.5391666667,0.0028085106,0.1769385740,0.6767021277
44,44.053191,0.0069503546,0.5431702128,-0.0011950355,0.1631128991,0.6626595745
45,44.976596,0.0084787234,0.5406205674,0.0013546099,0.2091686887,0.7096099291
46,46.093617,0.0078741135,0.5357783688,0.0061968085,0.1964964874,0.6947872340
47,47.189362,0.0073421986,0.5423226950,-0.0003475177,0.1892516003,0.6881914894
48,48.174468,0.0081205674,0.5409946809,0.0009804965,0.1931152811,0.6917375887
49,49.068085,0.0078741135,0.5438581560,-0.0018829787,0.1651590855,0.6646808511
50,50.129787,0.0081347518,0.5383918440,0.0035833333,0.1581755265,0.6579787234
51,50.987234,0.0077393617,0.5379255319,0.0040496454,0.1690870139,0.6682269504
52,52.114894,0.0083989362,0.5405939716,0.0013812057,0.1969025852,0.6929787234
53,52.889362,0.0079893617,0.5427765957,-0.0008014184,0.1914570111,0.6905673759
54,54.065957,0.0075212766,0.5390496454,0.0029255319,0.1390669186,0.6386524823
55,55.123404,0.0087163121,0.5428546099,-0.0008794326,0.1853948750,0.6832978723
56,55.959574,0.0077039007,0.5394822695,0.0024929078,0.1789520837,0.6786879433
57,57.036170,0.0074609929,0.5448829787,-0.0029078014,0.1834092526,0.6834751773
58,58.289362,0.0087730496,0.5369219858,0.0050531915,0.1776193737,0.6772695035
59,58.834043,0.0080797872,0.5410957447,0.0008794326,0.1755196075,0.6754609929
60,60.136170,0.0070992908,0.5393617021,0.0026134752,0.1553972322,0.6548936170
61,60.948936,0.0085000000,0.5386453901,0.0033297872,0.1875084799,0.6851418440
62,61.861702,0.0079361702,0.5430212766,-0.0010460993,0.2071960120,0.7051773050
63,63.065957,0.0076010638,0.5392624113,0.0027127660,0.1638182711,0.6614184397
64,64.157447,0.0080531915,0.5365460993,0.0054290780,0.1611423248,0.6598936170
65,65.040426,0.0081950355,0.5367092199,0.0052659574,0.2009201508,0.6983687943
66,65.978723,0.0077251773,0.5389893617,0.0029858156,0.1824789729,0.6824113475
67,67.068085,0.0074060284,0.5390815603,0.0028936170,0.1887514618,0.6878368794
68,67.848936,0.0089131206,0.5359716312,0.0060035461,0.1884170606,0.6870921986
69,69.025532,0.0088776596,0.5379166667,0.0040585106,0.1892657423,0.6872695035
70,69.782979,0.0081294326,0.5419397163,0.0000354610,0.1936203574,0.6929432624
71,71.059574,0.0088634752,0.5378936170,0.0040815603,0.2070762064,0.7057092199
72,71.819149,0.0075886525,0.5352836879,0.0066914894,0.1408029944,0.6393617021
73,72.863830,0.0074485816,0.5405921986,0.0013829787,0.1846845271,0.6852482270
74,74.019149,0.0085496454,0.5425691489,-0.0005939716,0.1716338323,0.6715248227
75,75.089362,0.0066826241,0.5382517730,0.0037234043,0.1606106067,0.6606028369
76,75.944681,0.0077375887,0.5425709220,-0.0005957447,0.1525688302,0.6521631206
77,76.976596,0.0078102837,0.5380921986,0.0038829787,0.1529565370,0.6530496454
78,77.840426,0.0076099291,0.5383049645,0.0036702128,0.1623394950,0.6625177305
79,79.076596,0.0079468085,0.5432570922,-0.0012819149,0.1546122222,0.6539361702
80,79.921277,0.0082659574,0.5408971631,0.0010780142,0.1553474242,0.6560992908
81,80.978723,0.0075567376,0.5381152482,0.0038599291,0.1614028307,0.6603191489
82,81.872340,0.0081241135,0.5387978723,0.0031773050,0.1645819363,0.6631560284
83,82.927660,0.0077553191,0.5339078014,0.0080673759,0.1808769489,0.6812056738
84,83.861702,0.0079361702,0.5372836879,0.0046914894,0.1692601520,0.6674468085
85,85.004255,0.0072890071,0.5423829787,-0.0004078014,0.1491886818,0.6482978723
86,85.982979,0.0074397163,0.5447553191,-0.0027801418,0.1243940572,0.6247163121
87,86.948936,0.0078546099,0.5458528369,-0.0038776596,0.1795028601,0.6785460993
88,88.106383,0.0080496454,0.5355425532,0.0064326241,0.1910758621,0.6904609929
89,88.889362,0.0067127660,0.5384574468,0.0035177305,0.1144124548,0.6127304965
90,89.917021,0.0073368794,0.5414645390,0.0005106383,0.1460622044,0.6459219858
91,90.982979,0.0075230496,0.5421666667,-0.0001914894,0.1761278261,0.6758510638
92,91.972340,0.0074751773,0.5356631206,0.0063120567,0.1526191987,0.6527659574
93,92.891489,0.0067287234,0.5397482270,0.0022269504,0.1171325948,0.6178723404
94,93.774468,0.0070248227,0.5305372340,0.0114379433,0.1352278703,0.6341134752
95,94.538298,0.0074627660,0.5357482270,0.0062269504,0.1656539364,0.6644326241
